,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,9.837,"[5.88e-08, 5.88e-08]",9.837,"[9.644, 10.034]","[9.644, 10.034]","[9.644, 10.034]",9.722,9.722
beta/eta,144.343,"[1.04e-07, 1.04e-07]",144.343,"[142.971, 145.728]","[142.971, 145.728]","[142.971, 145.728]",143.755,143.755
xc^2/epsilon,1.207,"[7.13e-09, 7.13e-09]",1.207,"[1.184, 1.231]","[1.184, 1.231]","[1.184, 1.231]",1.216,1.216
xc,8.009,"[8.5e-09, 8.5e-09]",8.009,"[7.788, 8.235]","[7.788, 8.235]","[7.788, 8.235]",8.146,8.146
ExtH,7.632,"[4.42e-10, 4.42e-10]",7.632,"[7.626, 7.638]","[7.626, 7.638]","[7.626, 7.638]",7.634,7.634
eta,1.194,"[0.0172, 0.0175]",1.195,"[1.165, 1.226]","[1.165, 1.226]","[1.165, 1.226]",0.838,1.171
beta,179.277,"[3.221, 3.28]",179.379,"[175.724, 183.11]","[175.724, 183.11]","[175.724, 183.11]",120.448,176.107
epsilon,83.779,"[0.877, 0.886]",83.807,"[79.262, 88.612]","[79.262, 88.612]","[79.262, 88.612]",54.565,80.543
sqrt(xc/eta),2.678,"[0.0265, 0.0268]",2.677,"[2.651, 2.704]","[2.651, 2.704]","[2.651, 2.704]",3.118,2.674
s= eta^0.5*xc^1.5/epsilon,0.323,"[0.00363, 0.00367]",0.323,"[0.319, 0.327]","[0.319, 0.327]","[0.319, 0.327]",0.39,0.326
beta*xc/epsilon,18.394,"[0.0366, 0.0367]",18.395,"[18.202, 18.59]","[18.202, 18.59]","[18.202, 18.59]",17.981,18.308
eta*xc/epsilon,0.126,"[8.71e-11, 8.71e-11]",0.126,"[0.125, 0.126]","[0.125, 0.126]","[0.125, 0.126]",0.125,0.125
Fx=beta^2/eta*xc,2124.364,"[1.65e-05, 1.65e-05]",2124.364,"[2062.772, 2187.794]","[2062.772, 2187.794]","[2062.772, 2187.794]",2125.702,2125.702
Dx =beta*epsilon/eta*xc^2,120.936,"[8.07e-07, 8.07e-07]",120.936,"[117.919, 124.03]","[117.919, 124.03]","[117.919, 124.03]",118.223,118.223
Pk=beta*k/epsilon,1.137,"[5.02e-07, 5.02e-07]",1.137,"[1.095, 1.182]","[1.095, 1.182]","[1.095, 1.182]",1.104,1.104
Fk=beta^2/eta*k,34835.095,"[0.0805, 0.0805]",34835.095,"[34064.694, 35622.919]","[34064.694, 35622.919]","[34064.694, 35622.919]",34629.903,34629.903
Dk =beta*epsilon/eta*k^2,31228.741,"[0.00024, 0.00024]",31228.741,"[29679.003, 32859.401]","[29679.003, 32859.401]","[29679.003, 32859.401]",31376.03,31376.03
Fk^2/Dk=beta^3/eta*epsilon,38416.347,"[0.00031, 0.00031]",38416.347,"[37072.54, 39808.864]","[37072.54, 39808.864]","[37072.54, 39808.864]",38221.222,38221.222
epsilon/beta^2,0.00267,"[2.19e-07, 2.19e-07]",0.00267,"[0.00259, 0.00275]","[0.00259, 0.00275]","[0.00259, 0.00275]",0.00376,0.0026
k/beta,0.00279,"[1.66e-07, 1.66e-07]",0.00279,"[0.00273, 0.00284]","[0.00273, 0.00284]","[0.00273, 0.00284]",0.00415,0.00284
k^2/epsilon,0.00298,"[1.03e-07, 1.03e-07]",0.00298,"[0.00282, 0.00315]","[0.00282, 0.00315]","[0.00282, 0.00315]",0.00458,0.0031
eta/xc,0.139,"[0.00275, 0.00281]",0.14,"[0.137, 0.142]","[0.137, 0.142]","[0.137, 0.142]",0.103,0.14
beta/xc,21.451,"[0.519, 0.532]",21.468,"[20.951, 21.996]","[20.951, 21.996]","[20.951, 21.996]",14.787,21.032
epsilon/xc^2,1.132,"[0.0234, 0.0239]",1.133,"[1.111, 1.155]","[1.111, 1.155]","[1.111, 1.155]",0.822,1.149
k/xc,0.059,"[0.00031, 0.000312]",0.059,"[0.0574, 0.0607]","[0.0574, 0.0607]","[0.0574, 0.0607]",0.0614,0.0597
best fit no ext hazard_MedianLifetime,74.13,0.5100000000000051,74.13,"[73.64, 74.64]","[73.64, 74.64]","[73.64, 74.64]",74.13,
best fit no ext hazard_MaxLifetime,105.78,0,105.78,"[105.78, 105.78]","[105.78, 105.78]","[105.78, 105.78]",105.78,
best fit_MedianLifetime,73.47,0.5100000000000051,73.47,"[72.98, 73.98]","[72.98, 73.98]","[72.98, 73.98]",73.47,
best fit_MaxLifetime,108.33,0,108.33,"[108.33, 108.33]","[108.33, 108.33]","[108.33, 108.33]",108.33,
data_MedianLifetime,67.0,0.5,67.0,"[66.5, 67.5]","[66.5, 67.5]","[66.5, 67.5]",67.0,
data_MaxLifetime,108.5,0,108.5,"[108.5, 108.5]","[108.5, 108.5]","[108.5, 108.5]",108.5,
ML_lnprob,-332119.0108116233,"[-332119.0108116233, -332119.0108116233]",-332119.0108116233,"[-332119.0108116233, -332119.0108116233]","[-332119.0108116233, -332119.0108116233]","[-332119.0108116233, -332119.0108116233]",-332119.0108116233,-332119.0108116233
