,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,10.199,"[1.68e-08, 1.68e-08]",10.199,"[9.977, 10.426]","[9.977, 10.426]","[9.977, 10.426]",10.393,10.393
beta/eta,101.592,"[1.62e-08, 1.62e-08]",101.592,"[101.175, 102.01]","[101.175, 102.01]","[101.175, 102.01]",101.566,101.566
xc^2/epsilon,2.205,"[3.42e-09, 3.42e-09]",2.205,"[2.162, 2.25]","[2.162, 2.25]","[2.162, 2.25]",2.203,2.203
xc,29.925,"[5.33e-08, 5.33e-08]",29.925,"[28.888, 30.999]","[28.888, 30.999]","[28.888, 30.999]",30.275,30.275
ExtH,7.733,"[2.26e-10, 2.26e-10]",7.733,"[7.727, 7.74]","[7.727, 7.74]","[7.727, 7.74]",7.729,7.729
eta,2.835,"[5.52e-10, 5.52e-10]",2.835,"[2.755, 2.917]","[2.755, 2.917]","[2.755, 2.917]",2.913,2.913
beta,296.124,"[3.47e-08, 3.47e-08]",296.124,"[288.603, 303.842]","[288.603, 303.842]","[288.603, 303.842]",295.865,295.865
epsilon,389.647,"[7.67e-07, 7.67e-07]",389.647,"[364.627, 416.384]","[364.627, 416.384]","[364.627, 416.384]",416.159,416.159
sqrt(xc/eta),3.194,"[2.62e-09, 2.62e-09]",3.194,"[3.159, 3.229]","[3.159, 3.229]","[3.159, 3.229]",3.224,3.224
s= eta^0.5*xc^1.5/epsilon,0.678,"[5.25e-10, 5.25e-10]",0.678,"[0.67, 0.686]","[0.67, 0.686]","[0.67, 0.686]",0.683,0.683
beta*xc/epsilon,21.571,"[4.44e-09, 4.44e-09]",21.571,"[21.359, 21.785]","[21.359, 21.785]","[21.359, 21.785]",21.524,21.524
eta*xc/epsilon,0.213,"[1.04e-11, 1.04e-11]",0.213,"[0.211, 0.215]","[0.211, 0.215]","[0.211, 0.215]",0.212,0.212
Fx=beta^2/eta*xc,1011.585,"[1.99e-06, 1.99e-06]",1011.585,"[984.195, 1039.737]","[984.195, 1039.737]","[984.195, 1039.737]",992.55,992.55
Dx =beta*epsilon/eta*xc^2,45.72,"[7.71e-08, 7.71e-08]",45.72,"[44.698, 46.765]","[44.698, 46.765]","[44.698, 46.765]",46.113,46.113
Pk=beta*k/epsilon,0.364,"[7.48e-10, 7.48e-10]",0.364,"[0.349, 0.381]","[0.349, 0.381]","[0.349, 0.381]",0.355,0.355
Fk=beta^2/eta*k,61354.735,"[1.61e-05, 1.61e-05]",61354.735,"[59821.536, 62927.229]","[59821.536, 62927.229]","[59821.536, 62927.229]",60099.789,60099.789
Dk =beta*epsilon/eta*k^2,166167.275,"[0.000284, 0.000284]",166167.275,"[155853.535, 177163.535]","[155853.535, 177163.535]","[155853.535, 177163.535]",169070.585,169070.585
Fk^2/Dk=beta^3/eta*epsilon,21472.358,"[4.56e-05, 4.56e-05]",21472.358,"[20788.482, 22178.732]","[20788.482, 22178.732]","[20788.482, 22178.732]",21363.767,21363.767
epsilon/beta^2,0.00484,"[9.4e-12, 9.4e-12]",0.00484,"[0.0047, 0.00499]","[0.0047, 0.00499]","[0.0047, 0.00499]",0.00475,0.00475
k/beta,0.00169,"[1.98e-13, 1.98e-13]",0.00169,"[0.00164, 0.00173]","[0.00164, 0.00173]","[0.00164, 0.00173]",0.00169,0.00169
k^2/epsilon,0.000641,"[1.26e-12, 1.26e-12]",0.000641,"[0.0006, 0.000685]","[0.0006, 0.000685]","[0.0006, 0.000685]",0.000601,0.000601
eta/xc,0.098,"[1.61e-10, 1.61e-10]",0.098,"[0.0959, 0.1]","[0.0959, 0.1]","[0.0959, 0.1]",0.0962,0.0962
beta/xc,9.682,"[1.71e-08, 1.71e-08]",9.682,"[9.445, 9.924]","[9.445, 9.924]","[9.445, 9.924]",9.772,9.772
epsilon/xc^2,0.453,"[7.03e-10, 7.03e-10]",0.453,"[0.444, 0.463]","[0.444, 0.463]","[0.444, 0.463]",0.454,0.454
k/xc,0.0167,"[2.98e-11, 2.98e-11]",0.0167,"[0.0161, 0.0173]","[0.0161, 0.0173]","[0.0161, 0.0173]",0.0165,0.0165
best fit no ext hazard_MedianLifetime,74.26,0.5100000000000051,74.26,"[73.77000000000001, 74.77000000000001]","[73.77000000000001, 74.77000000000001]","[73.77000000000001, 74.77000000000001]",74.26,
best fit no ext hazard_MaxLifetime,104.26,0,104.26,"[104.26, 104.26]","[104.26, 104.26]","[104.26, 104.26]",104.26,
best fit_MedianLifetime,73.89,0.5100000000000051,73.89,"[73.4, 74.4]","[73.4, 74.4]","[73.4, 74.4]",73.89,
best fit_MaxLifetime,103.93,0,103.93,"[103.93, 103.93]","[103.93, 103.93]","[103.93, 103.93]",103.93,
data_MedianLifetime,69.0,0.5,69.0,"[68.51, 69.5]","[68.51, 69.5]","[68.51, 69.5]",69.0,
data_MaxLifetime,103.5,0,103.5,"[103.5, 103.5]","[103.5, 103.5]","[103.5, 103.5]",103.5,
ML_lnprob,-356253.4388665623,"[-356253.4388665623, -356253.4388665623]",-356253.4388665623,"[-356253.4388665623, -356253.4388665623]","[-356253.4388665623, -356253.4388665623]","[-356253.4388665623, -356253.4388665623]",-356253.4388665623,-356253.4388665623
