,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,1.173,"[0.653, 1.476]",0.522,"[0.455, 0.748]","[0.326, 1.536]","[0.326, 5.481]",0.155,0.155
beta/eta,29.657,"[9.662, 14.331]",23.805,"[21.827, 24.222]","[18.998, 27.829]","[15.426, 93.767]",90.817,90.817
xc^2/epsilon,0.67,"[0.377, 0.861]",0.21,"[0.168, 0.277]","[0.168, 0.872]","[0.168, 3.706]",0.114,0.114
xc,5.713,"[3.781, 11.177]",6.028,"[5.793, 7.356]","[5.35, 13.905]","[0.419, 68.324]",0.443,0.443
ExtH,5.673,"[0.145, 0.149]",5.516,"[5.503, 5.539]","[5.494, 5.63]","[5.494, 5.932]",5.577,5.577
eta,5.016,"[2.662, 5.673]",9.806,"[9.402, 12.1]","[5.22, 12.1]","[0.893, 14.315]",2.864,2.864
beta,147.303,"[72.859, 144.165]",294.377,"[250.697, 303.987]","[131.865, 303.987]","[38.904, 419.145]",260.115,260.115
epsilon,51.854,"[42.237, 227.748]",147.491,"[98.661, 159.841]","[37.589, 159.841]","[1.507, 1784.054]",1.717,1.717
sqrt(xc/eta),1.077,"[0.36, 0.54]",1.222,"[1.173, 1.274]","[1.079, 1.877]","[0.604, 3.263]",0.393,0.393
s= eta^0.5*xc^1.5/epsilon,0.615,"[0.212, 0.325]",0.373,"[0.325, 0.39]","[0.279, 0.676]","[0.279, 1.245]",0.291,0.291
beta*xc/epsilon,16.903,"[5.77, 8.761]",13.151,"[12.854, 14.083]","[11.733, 15.428]","[10.232, 69.539]",67.148,67.148
eta*xc/epsilon,0.571,"[0.0451, 0.0489]",0.569,"[0.553, 0.574]","[0.532, 0.585]","[0.493, 0.682]",0.739,0.739
Fx=beta^2/eta*xc,810.444,"[634.932, 2931.861]",1908.377,"[1113.414, 2283.845]","[336.233, 2574.354]","[10.437, 31820.219]",53289.514,53289.514
Dx =beta*epsilon/eta*xc^2,47.075,"[32.42, 104.145]",71.968,"[46.322, 95.259]","[17.713, 95.259]","[1.88, 402.849]",793.609,793.609
Pk=beta*k/epsilon,1.499,"[1.153, 4.996]",1.011,"[0.845, 1.211]","[0.464, 1.539]","[0.0422, 80.493]",75.738,75.738
Fk=beta^2/eta*k,8538.842,"[4763.968, 10776.193]",21499.561,"[17924.142, 25788.187]","[6472.73, 25788.187]","[678.573, 27734.306]",47245.474,47245.474
Dk =beta*epsilon/eta*k^2,6014.764,"[4550.667, 18694.927]",16915.035,"[13763.075, 20788.843]","[6032.34, 23852.574]","[336.265, 142462.172]",623.797,14504.298
Fk^2/Dk=beta^3/eta*epsilon,11505.264,"[9434.558, 52420.307]",35786.587,"[23821.491, 38821.343]","[4676.959, 45684.732]","[563.452, 168025.563]",3578300.997,33543.833
epsilon/beta^2,0.00244,"[0.0019, 0.00857]",0.00101,"[0.000828, 0.0014]","[0.000255, 0.00455]","[5.29e-05, 0.12]",2.54e-05,2.54e-05
k/beta,0.00348,"[0.00172, 0.00339]",0.00193,"[0.00164, 0.00213]","[0.00164, 0.00404]","[0.00127, 0.0128]",0.00192,0.00192
k^2/epsilon,0.00498,"[0.00406, 0.0221]",0.00233,"[0.00215, 0.00297]","[0.00156, 0.00664]","[0.00014, 0.166]",0.146,0.146
eta/xc,0.842,"[0.468, 1.053]",1.914,"[1.336, 2.198]","[0.651, 3.063]","[0.163, 3.063]",6.461,6.461
beta/xc,24.689,"[16.825, 52.824]",62.008,"[59.415, 99.192]","[16.499, 117.671]","[0.83, 253.828]",586.782,586.782
epsilon/xc^2,1.474,"[0.826, 1.881]",3.707,"[2.425, 3.995]","[1.091, 3.995]","[0.0815, 5.128]",8.739,8.739
k/xc,0.0847,"[0.0555, 0.161]",0.0653,"[0.0627, 0.0796]","[0.0359, 0.0934]","[0.00731, 1.193]",1.128,1.128
best fit no ext hazard_MedianLifetime,13.69,0.5099999999999998,13.69,"[13.2, 14.2]","[13.2, 14.2]","[13.2, 14.2]",13.69,
best fit no ext hazard_MaxLifetime,21.36,0,21.36,"[21.36, 21.36]","[21.36, 21.36]","[21.36, 21.36]",21.36,
best fit_MedianLifetime,13.47,0.5099999999999998,13.47,"[12.98, 13.98]","[12.98, 13.98]","[12.98, 13.98]",13.47,
best fit_MaxLifetime,21.88,0,21.88,"[21.88, 21.88]","[21.88, 21.88]","[21.88, 21.88]",21.88,
data_MedianLifetime,13.54,0.5299999999999994,13.54,"[13.059999999999999, 14.069999999999999]","[13.059999999999999, 14.069999999999999]","[13.059999999999999, 14.069999999999999]",13.54,
data_MaxLifetime,21.34,0,21.34,"[21.34, 21.34]","[21.34, 21.34]","[21.34, 21.34]",21.34,
ML_lnprob,-12669.054772033034,"[-12669.054772033034, -12669.054772033034]",-12669.054772033034,"[-12669.054772033034, -12669.054772033034]","[-12669.054772033034, -12669.054772033034]","[-12669.054772033034, -12669.054772033034]",-12669.054772033034,-12669.054772033034
