,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,24.776,"[0.562, 0.575]",24.89,"[24.171, 25.63]","[24.171, 25.63]","[24.171, 25.63]",24.312,24.312
beta/eta,97.703,"[0.61, 0.614]",97.827,"[97.436, 98.221]","[97.436, 98.221]","[97.436, 98.221]",98.043,98.043
xc^2/epsilon,5.839,"[0.135, 0.138]",5.866,"[5.751, 5.984]","[5.751, 5.984]","[5.751, 5.984]",5.903,5.903
xc,14.511,"[1.97, 2.28]",14.087,"[13.655, 14.534]","[13.655, 14.534]","[13.655, 14.534]",13.662,13.662
ExtH,7.005,"[0.038, 0.0382]",7.012,"[7.007, 7.018]","[7.007, 7.018]","[7.007, 7.018]",7.015,7.015
eta,0.576,"[0.0937, 0.112]",0.556,"[0.541, 0.571]","[0.541, 0.571]","[0.541, 0.571]",0.562,0.562
beta,57.115,"[8.878, 10.511]",55.19,"[53.878, 56.534]","[53.878, 56.534]","[53.878, 56.534]",55.092,55.092
epsilon,33.873,"[9.361, 12.935]",31.72,"[29.76, 33.809]","[29.76, 33.809]","[29.76, 33.809]",31.616,31.616
sqrt(xc/eta),4.978,"[0.0568, 0.0575]",4.989,"[4.916, 5.063]","[4.916, 5.063]","[4.916, 5.063]",4.931,4.931
s= eta^0.5*xc^1.5/epsilon,1.195,"[0.0192, 0.0195]",1.198,"[1.182, 1.215]","[1.182, 1.215]","[1.182, 1.215]",1.197,1.197
beta*xc/epsilon,24.063,"[0.365, 0.371]",24.139,"[23.672, 24.615]","[23.672, 24.615]","[23.672, 24.615]",23.806,23.806
eta*xc/epsilon,0.243,"[0.00165, 0.00166]",0.243,"[0.239, 0.247]","[0.239, 0.247]","[0.239, 0.247]",0.243,0.243
Fx=beta^2/eta*xc,390.062,"[0.977, 0.979]",390.079,"[376.461, 404.189]","[376.461, 404.189]","[376.461, 404.189]",395.374,395.374
Dx =beta*epsilon/eta*xc^2,16.976,"[0.16, 0.162]",16.945,"[16.552, 17.347]","[16.552, 17.347]","[16.552, 17.347]",16.608,16.608
Pk=beta*k/epsilon,0.84,"[0.133, 0.158]",0.87,"[0.828, 0.914]","[0.828, 0.914]","[0.828, 0.914]",0.871,0.871
Fk=beta^2/eta*k,10959.393,"[1663.961, 1961.825]",10599.318,"[10353.614, 10850.853]","[10353.614, 10850.853]","[10353.614, 10850.853]",10802.884,10802.884
Dk =beta*epsilon/eta*k^2,13700.654,"[3879.706, 5412.36]",12805.06,"[12047.655, 13610.081]","[12047.655, 13610.081]","[12047.655, 13610.081]",12398.764,12398.764
Fk^2/Dk=beta^3/eta*epsilon,9055.037,"[33.568, 33.693]",9055.62,"[8588.363, 9548.298]","[8588.363, 9548.298]","[8588.363, 9548.298]",9412.415,9412.415
epsilon/beta^2,0.0104,"[3.63e-05, 3.64e-05]",0.0104,"[0.0099, 0.0109]","[0.0099, 0.0109]","[0.0099, 0.0109]",0.0104,0.0104
k/beta,0.00875,"[0.00136, 0.00161]",0.00906,"[0.00884, 0.00928]","[0.00884, 0.00928]","[0.00884, 0.00928]",0.00908,0.00908
k^2/epsilon,0.00737,"[0.00204, 0.00281]",0.00787,"[0.00738, 0.00839]","[0.00738, 0.00839]","[0.00738, 0.00839]",0.00791,0.00791
eta/xc,0.0404,"[0.000916, 0.000937]",0.0402,"[0.039, 0.0414]","[0.039, 0.0414]","[0.039, 0.0414]",0.0411,0.0411
beta/xc,3.976,"[0.0508, 0.0514]",3.966,"[3.84, 4.097]","[3.84, 4.097]","[3.84, 4.097]",4.033,4.033
epsilon/xc^2,0.171,"[0.00395, 0.00404]",0.17,"[0.167, 0.174]","[0.167, 0.174]","[0.167, 0.174]",0.169,0.169
k/xc,0.0344,"[0.00468, 0.00541]",0.0355,"[0.0344, 0.0366]","[0.0344, 0.0366]","[0.0344, 0.0366]",0.0366,0.0366
best fit no ext hazard_MedianLifetime,76.95,0.5100000000000051,76.95,"[76.46000000000001, 77.46000000000001]","[76.46000000000001, 77.46000000000001]","[76.46000000000001, 77.46000000000001]",76.95,
best fit no ext hazard_MaxLifetime,108.53,0,108.53,"[108.53, 108.53]","[108.53, 108.53]","[108.53, 108.53]",108.53,
best fit_MedianLifetime,75.83,0.5100000000000051,75.83,"[75.34, 76.34]","[75.34, 76.34]","[75.34, 76.34]",75.83,
best fit_MaxLifetime,107.45,0,107.45,"[107.45, 107.45]","[107.45, 107.45]","[107.45, 107.45]",107.45,
data_MedianLifetime,72.5,0.5,72.5,"[72.01, 73.0]","[72.01, 73.0]","[72.01, 73.0]",72.5,
data_MaxLifetime,107.5,0,107.5,"[107.5, 107.5]","[107.5, 107.5]","[107.5, 107.5]",107.5,
ML_lnprob,-377729.8498961141,"[-377729.8498961141, -377729.8498961141]",-377729.8498961141,"[-377729.8498961141, -377729.8498961141]","[-377729.8498961141, -377729.8498961141]","[-377729.8498961141, -377729.8498961141]",-377729.8498961141,-377729.8498961141
