,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,12.562,"[6.049, 11.668]",5.781,"[5.64, 5.926]","[4.404, 15.936]","[4.404, 27.459]",6.174,5.786
beta/eta,17.702,"[4.277, 5.639]",23.834,"[23.411, 24.263]","[16.972, 24.263]","[12.304, 24.263]",25.701,23.913
xc^2/epsilon,5.349,"[2.868, 6.182]",2.179,"[2.118, 2.241]","[1.6, 6.886]","[1.6, 13.505]",2.468,2.192
xc,55.077,"[37.796, 120.462]",21.579,"[20.752, 22.439]","[16.415, 33.169]","[15.181, 273.661]",6.545,21.575
ExtH,4.096,"[0.068, 0.0691]",4.089,"[4.082, 4.095]","[4.032, 4.159]","[4.007, 4.237]",4.017,4.04
eta,4.261,"[1.953, 3.606]",3.683,"[3.547, 3.825]","[3.547, 10.231]","[1.936, 16.11]",1.06,3.729
beta,78.571,"[30.576, 50.055]",90.199,"[87.488, 92.993]","[82.309, 134.112]","[32.954, 246.884]",27.243,89.164
epsilon,544.525,"[431.614, 2081.502]",205.842,"[190.313, 222.638]","[190.313, 2001.803]","[86.86, 6002.507]",17.357,212.337
sqrt(xc/eta),3.475,"[0.933, 1.275]",2.404,"[2.375, 2.434]","[2.099, 3.117]","[2.099, 5.24]",2.485,2.405
s= eta^0.5*xc^1.5/epsilon,1.468,"[0.506, 0.771]",0.911,"[0.896, 0.925]","[0.766, 1.308]","[0.766, 2.616]",0.993,0.911
beta*xc/epsilon,7.704,"[1.12, 1.31]",9.188,"[9.056, 9.323]","[7.389, 9.598]","[6.207, 9.598]",10.273,9.059
eta*xc/epsilon,0.398,"[0.000349, 0.000349]",0.398,"[0.396, 0.401]","[0.396, 0.401]","[0.396, 0.401]",0.4,0.4
Fx=beta^2/eta*xc,112.557,"[1.304, 1.319]",112.564,"[105.963, 119.576]","[105.963, 119.576]","[105.963, 119.576]",106.98,106.98
Dx =beta*epsilon/eta*xc^2,10.63,"[0.0997, 0.101]",10.63,"[10.153, 11.13]","[10.153, 11.13]","[10.153, 11.13]",10.414,10.414
Pk=beta*k/epsilon,0.0631,"[0.0454, 0.162]",0.203,"[0.193, 0.213]","[0.116, 0.236]","[0.0111, 0.289]",0.785,0.21
Fk=beta^2/eta*k,2804.514,"[1129.765, 1891.891]",4257.222,"[4105.79, 4414.238]","[3072.988, 6817.256]","[1114.642, 10528.425]",1400.341,4264.37
Dk =beta*epsilon/eta*k^2,43650.477,"[33121.922, 137320.608]",21309.367,"[19846.786, 22879.73]","[14933.745, 295899.263]","[8455.238, 295899.263]",1784.363,20310.663
Fk^2/Dk=beta^3/eta*epsilon,173.367,"[128.026, 489.525]",833.0,"[772.844, 897.837]","[127.886, 1635.388]","[33.18, 1635.388]",1098.966,895.335
epsilon/beta^2,0.0922,"[0.0625, 0.194]",0.0254,"[0.024, 0.0269]","[0.0191, 0.133]","[0.0191, 0.372]",0.0234,0.0267
k/beta,0.00624,"[0.00258, 0.0044]",0.00554,"[0.00537, 0.00571]","[0.00373, 0.00607]","[0.00202, 0.0152]",0.0184,0.00561
k^2/epsilon,0.000429,"[0.000351, 0.00192]",0.00121,"[0.00112, 0.00131]","[5.69e-05, 0.0018]","[4.16e-05, 0.0046]",0.0144,0.00118
eta/xc,0.0796,"[0.0383, 0.0739]",0.173,"[0.169, 0.177]","[0.0628, 0.227]","[0.0364, 0.227]",0.162,0.173
beta/xc,1.385,"[0.849, 2.192]",4.142,"[3.97, 4.322]","[1.016, 5.125]","[0.434, 6.617]",4.162,4.133
epsilon/xc^2,0.187,"[0.1, 0.216]",0.459,"[0.446, 0.472]","[0.145, 0.625]","[0.074, 0.625]",0.405,0.456
k/xc,0.0092,"[0.00633, 0.0203]",0.0232,"[0.0223, 0.0241]","[0.0163, 0.0304]","[0.00183, 0.0329]",0.0764,0.0232
best fit no ext hazard_MedianLifetime,13.05,0.5099999999999998,13.05,"[12.56, 13.56]","[12.56, 13.56]","[12.56, 13.56]",13.05,
best fit no ext hazard_MaxLifetime,24.81,0,24.81,"[24.81, 24.81]","[24.81, 24.81]","[24.81, 24.81]",24.81,
best fit_MedianLifetime,11.72,0.5099999999999998,11.72,"[11.23, 12.23]","[11.23, 12.23]","[11.23, 12.23]",11.72,
best fit_MaxLifetime,25.0,0,25.0,"[25.0, 25.0]","[25.0, 25.0]","[25.0, 25.0]",25.0,
data_MedianLifetime,12.0,0.5099999999999998,12.0,"[11.51, 12.51]","[11.51, 12.51]","[11.51, 12.51]",12.0,
data_MaxLifetime,17.0,0,17.0,"[17.0, 17.0]","[17.0, 17.0]","[17.0, 17.0]",17.0,
ML_lnprob,-60558.09142866669,"[-60558.09142866669, -60558.09142866669]",-60558.09142866669,"[-60558.09142866669, -60558.09142866669]","[-60558.09142866669, -60558.09142866669]","[-60558.09142866669, -60558.09142866669]",-60558.09142866669,-60558.09142866669
