,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,4.125,"[0.495, 0.562]",4.314,"[4.203, 4.428]","[4.203, 4.428]","[2.767, 6.383]",4.273,4.273
beta/eta,29.622,"[1.495, 1.574]",29.347,"[29.012, 29.685]","[29.012, 29.685]","[15.984, 32.536]",29.343,29.343
xc^2/epsilon,1.348,"[0.177, 0.204]",1.411,"[1.376, 1.448]","[1.376, 1.448]","[0.872, 2.529]",1.379,1.379
xc,17.677,"[4.567, 6.157]",18.636,"[17.956, 19.341]","[17.956, 19.341]","[14.369, 24.169]",18.533,18.533
ExtH,4.613,"[0.0222, 0.0223]",4.608,"[4.6, 4.617]","[4.6, 4.617]","[4.565, 4.652]",4.614,4.614
eta,4.328,"[1.014, 1.324]",4.364,"[4.185, 4.551]","[4.185, 4.551]","[3.848, 6.365]",4.338,4.338
beta,125.895,"[27.412, 35.042]",124.741,"[120.138, 129.521]","[120.138, 129.521]","[52.536, 203.368]",127.281,127.281
epsilon,242.642,"[104.184, 182.578]",262.179,"[242.199, 283.807]","[242.199, 283.807]","[150.528, 389.697]",249.173,249.173
sqrt(xc/eta),2.031,"[0.126, 0.134]",2.077,"[2.05, 2.104]","[2.05, 2.104]","[1.663, 2.526]",2.067,2.067
s= eta^0.5*xc^1.5/epsilon,0.65,"[0.0435, 0.0467]",0.659,"[0.649, 0.669]","[0.649, 0.669]","[0.527, 3.742]",0.667,0.667
beta*xc/epsilon,9.604,"[0.433, 0.454]",9.527,"[9.408, 9.647]","[9.408, 9.647]","[6.787, 10.144]",9.467,9.467
eta*xc/epsilon,0.322,"[0.00508, 0.00516]",0.321,"[0.319, 0.323]","[0.319, 0.323]","[0.314, 0.328]",0.323,0.323
Fx=beta^2/eta*xc,213.549,"[40.424, 49.863]",203.817,"[194.79, 213.263]","[194.79, 213.263]","[1.461, 367.287]",201.52,201.52
Dx =beta*epsilon/eta*xc^2,21.993,"[3.495, 4.155]",20.798,"[20.082, 21.539]","[20.082, 21.539]","[0.604, 35.175]",21.286,21.286
Pk=beta*k/epsilon,0.272,"[0.0775, 0.108]",0.254,"[0.243, 0.266]","[0.243, 0.266]","[0.203, 0.318]",0.255,0.255
Fk=beta^2/eta*k,7439.535,"[1544.078, 1948.486]",7304.643,"[7025.506, 7594.871]","[7025.506, 7594.871]","[5144.065, 13104.485]",7469.705,7469.705
Dk =beta*epsilon/eta*k^2,29168.8,"[11679.12, 19478.111]",31392.832,"[29129.061, 33832.531]","[29129.061, 33832.531]","[21592.875, 53010.086]",29246.357,29246.357
Fk^2/Dk=beta^3/eta*epsilon,2008.685,"[468.353, 610.761]",1834.901,"[1732.262, 1943.621]","[1732.262, 1943.621]","[24.473, 3877.929]",1907.81,1907.81
epsilon/beta^2,0.0145,"[0.00269, 0.0033]",0.0155,"[0.0148, 0.0163]","[0.0148, 0.0163]","[0.0085, 1.27]",0.0154,0.0154
k/beta,0.00397,"[0.000858, 0.00109]",0.00401,"[0.00386, 0.00416]","[0.00386, 0.00416]","[0.00246, 0.00951]",0.00393,0.00393
k^2/epsilon,0.00103,"[0.000442, 0.000774]",0.000952,"[0.00088, 0.00103]","[0.00088, 0.00103]","[0.000641, 0.00166]",0.001,0.001
eta/xc,0.242,"[0.0291, 0.033]",0.232,"[0.226, 0.238]","[0.226, 0.238]","[0.157, 0.361]",0.234,0.234
beta/xc,7.067,"[1.104, 1.308]",6.661,"[6.427, 6.903]","[6.427, 6.903]","[0.702, 11.38]",6.868,6.868
epsilon/xc^2,0.742,"[0.0974, 0.112]",0.709,"[0.691, 0.727]","[0.691, 0.727]","[0.395, 1.147]",0.725,0.725
k/xc,0.0283,"[0.0073, 0.00985]",0.0268,"[0.0258, 0.0278]","[0.0258, 0.0278]","[0.0207, 0.0348]",0.027,0.027
best fit no ext hazard_MedianLifetime,13.24,0.5099999999999998,13.24,"[12.75, 13.75]","[12.75, 13.75]","[12.75, 13.75]",13.24,
best fit no ext hazard_MaxLifetime,25.0,0,25.0,"[25.0, 25.0]","[25.0, 25.0]","[25.0, 25.0]",25.0,
best fit_MedianLifetime,12.48,0.5099999999999998,12.48,"[11.99, 12.99]","[11.99, 12.99]","[11.99, 12.99]",12.48,
best fit_MaxLifetime,25.0,0,25.0,"[25.0, 25.0]","[25.0, 25.0]","[25.0, 25.0]",25.0,
data_MedianLifetime,12.54,0.5199999999999996,12.54,"[12.059999999999999, 13.059999999999999]","[12.059999999999999, 13.059999999999999]","[12.059999999999999, 13.059999999999999]",12.54,
data_MaxLifetime,26.5,0,26.5,"[26.5, 26.5]","[26.5, 26.5]","[26.5, 26.5]",26.5,
ML_lnprob,-21910.355072076876,"[-21910.355072076876, -21910.355072076876]",-21910.355072076876,"[-21910.355072076876, -21910.355072076876]","[-21910.355072076876, -21910.355072076876]","[-21910.355072076876, -21910.355072076876]",-21910.355072076876,-21910.355072076876
