,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,31.424,"[8.262, 11.209]",24.762,"[24.248, 25.287]","[24.248, 25.287]","[22.298, 47.431]",24.982,24.982
beta/eta,174.055,"[18.672, 20.916]",185.312,"[183.07, 187.581]","[183.07, 187.581]","[143.511, 187.581]",186.673,186.673
xc^2/epsilon,2.607,"[0.706, 0.969]",2.031,"[1.987, 2.075]","[1.987, 2.075]","[1.987, 3.991]",2.061,2.061
xc,4.967,"[1.373, 1.898]",4.275,"[4.132, 4.424]","[4.132, 4.424]","[3.144, 7.638]",4.408,4.408
eta,0.163,"[0.0249, 0.0294]",0.174,"[0.17, 0.179]","[0.17, 0.179]","[0.121, 0.201]",0.176,0.176
beta,28.891,"[4.733, 5.66]",32.747,"[32.06, 33.45]","[32.06, 33.45]","[20.969, 33.45]",32.936,32.936
epsilon,10.036,"[3.141, 4.573]",9.902,"[9.329, 10.509]","[9.329, 10.509]","[5.794, 24.187]",9.426,9.426
sqrt(xc/eta),5.609,"[0.841, 0.989]",4.976,"[4.924, 5.029]","[4.924, 5.029]","[4.722, 7.182]",4.998,4.998
s= eta^0.5*xc^1.5/epsilon,0.469,"[0.0751, 0.0893]",0.412,"[0.407, 0.417]","[0.407, 0.417]","[0.37, 0.587]",0.412,0.412
beta*xc/epsilon,14.614,"[1.629, 1.834]",15.454,"[15.285, 15.624]","[15.285, 15.624]","[11.0, 15.624]",15.401,15.401
eta*xc/epsilon,0.0832,"[0.00116, 0.00118]",0.0827,"[0.0823, 0.0831]","[0.0823, 0.0839]","[0.0808, 0.0847]",0.0825,0.0825
Fx=beta^2/eta*xc,807.258,"[377.51, 709.131]",1444.238,"[1383.536, 1507.604]","[758.426, 1950.641]","[294.883, 1950.641]",1394.851,1394.851
Dx =beta*epsilon/eta*xc^2,56.841,"[21.499, 34.577]",89.191,"[86.29, 92.19]","[54.311, 98.494]","[26.237, 98.494]",90.567,90.567
Pk=beta*k/epsilon,1.492,"[0.495, 0.742]",1.807,"[1.73, 1.887]","[1.73, 1.887]","[0.862, 2.45]",1.747,1.747
Fk=beta^2/eta*k,9929.22,"[2196.167, 2819.873]",12050.826,"[11720.113, 12390.872]","[11720.113, 12390.872]","[7102.336, 12390.872]",12296.637,12296.637
Dk =beta*epsilon/eta*k^2,6570.655,"[1992.387, 2859.441]",6877.514,"[6541.013, 7231.328]","[6541.013, 7231.328]","[3582.669, 8838.207]",7038.655,7038.655
Fk^2/Dk=beta^3/eta*epsilon,16665.223,"[6783.412, 11439.914]",20461.808,"[19401.983, 21579.525]","[19401.983, 21579.525]","[4376.283, 21579.525]",21482.412,21482.412
epsilon/beta^2,0.0194,"[0.00761, 0.0125]",0.0235,"[0.0225, 0.0245]","[0.0225, 0.0245]","[0.00746, 0.159]",0.00869,0.0232
k/beta,0.021,"[0.00227, 0.00255]",0.0205,"[0.0201, 0.021]","[0.0201, 0.021]","[0.0177, 0.0295]",0.0152,0.0209
k^2/epsilon,0.0245,"[0.0111, 0.0204]",0.0199,"[0.0187, 0.0211]","[0.0187, 0.0211]","[0.0116, 0.0485]",0.0265,0.0189
eta/xc,0.0386,"[0.00657, 0.00792]",0.0404,"[0.0395, 0.0412]","[0.0395, 0.0412]","[0.022, 0.0448]",0.04,0.04
beta/xc,7.236,"[1.625, 2.095]",7.622,"[7.384, 7.867]","[7.384, 7.867]","[3.455, 8.381]",7.472,7.472
epsilon/xc^2,0.468,"[0.0828, 0.101]",0.492,"[0.482, 0.503]","[0.482, 0.503]","[0.251, 0.503]",0.485,0.485
k/xc,0.117,"[0.0231, 0.0288]",0.117,"[0.113, 0.121]","[0.113, 0.121]","[0.092, 0.148]",0.113,0.113
best fit no ext hazard_MedianLifetime,66.1,0.5100000000000051,66.1,"[65.61, 66.61]","[65.61, 66.61]","[65.61, 66.61]",66.1,
best fit no ext hazard_MaxLifetime,119.6,0,119.6,"[119.6, 119.6]","[119.6, 119.6]","[119.6, 119.6]",119.6,
best fit_MedianLifetime,66.22,0.5100000000000051,66.22,"[65.73, 66.73]","[65.73, 66.73]","[65.73, 66.73]",66.22,
best fit_MaxLifetime,118.37,0,118.37,"[118.37, 118.37]","[118.37, 118.37]","[118.37, 118.37]",118.37,
data_MedianLifetime,68.09,0.5100000000000051,68.09,"[67.60000000000001, 68.60000000000001]","[67.60000000000001, 68.60000000000001]","[67.60000000000001, 68.60000000000001]",68.09,
data_MaxLifetime,137.66,0,137.66,"[137.66, 137.66]","[137.66, 137.66]","[137.66, 137.66]",137.66,
ML_lnprob,-49914.22568292802,"[-49914.22568292802, -49914.22568292802]",-49914.22568292802,"[-49914.22568292802, -49914.22568292802]","[-49914.22568292802, -49914.22568292802]","[-49914.22568292802, -49914.22568292802]",-49914.22568292802,-49914.22568292802
