,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,830742.121,"[3.03e-05, 3.03e-05]",830742.121,"[807536.924, 854614.137]","[807536.924, 854614.137]","[807536.924, 854614.137]",852108.859,852108.859
beta/eta,41265.471,"[1.48e-07, 1.48e-07]",41265.471,"[41036.492, 41495.729]","[41036.492, 41495.729]","[41036.492, 41495.729]",41141.599,41141.599
xc^2/epsilon,504.12,"[8.15e-07, 8.15e-07]",504.12,"[494.068, 514.376]","[494.068, 514.376]","[494.068, 514.376]",503.858,503.858
xc,12.88,"[3.49e-08, 3.49e-08]",12.88,"[12.453, 13.321]","[12.453, 13.321]","[12.453, 13.321]",13.203,13.203
ExtH,7.477,"[9.82e-10, 9.82e-10]",7.477,"[7.471, 7.483]","[7.471, 7.483]","[7.471, 7.483]",7.479,7.479
eta,1.59e-05,"[4.01e-14, 4.01e-14]",1.59e-05,"[1.54e-05, 1.64e-05]","[1.54e-05, 1.64e-05]","[1.54e-05, 1.64e-05]",1.55e-05,1.55e-05
beta,0.637,"[1.47e-09, 1.47e-09]",0.637,"[0.619, 0.655]","[0.619, 0.655]","[0.619, 0.655]",0.637,0.637
epsilon,0.368,"[2.12e-09, 2.12e-09]",0.368,"[0.343, 0.395]","[0.343, 0.395]","[0.343, 0.395]",0.346,0.346
sqrt(xc/eta),911.451,"[2.13e-08, 2.13e-08]",911.451,"[898.631, 924.453]","[898.631, 924.453]","[898.631, 924.453]",923.097,923.097
s= eta^0.5*xc^1.5/epsilon,0.551,"[7.34e-10, 7.34e-10]",0.551,"[0.542, 0.56]","[0.542, 0.56]","[0.542, 0.56]",0.546,0.546
beta*xc/epsilon,24.771,"[3.88e-08, 3.88e-08]",24.771,"[24.292, 25.26]","[24.292, 25.26]","[24.292, 25.26]",24.327,24.327
eta*xc/epsilon,0.00059,"[2.06e-08, 2.06e-08]",0.00059,"[0.000581, 0.0006]","[0.000581, 0.0006]","[0.000581, 0.0006]",0.000591,0.000591
Fx=beta^2/eta*xc,1963.936,"[0.0791, 0.0791]",1963.936,"[1894.58, 2035.83]","[1894.58, 2035.83]","[1894.58, 2035.83]",1986.403,1986.403
Dx =beta*epsilon/eta*xc^2,81.953,"[0.00217, 0.00217]",81.953,"[80.043, 83.908]","[80.043, 83.908]","[80.043, 83.908]",81.653,81.653
Pk=beta*k/epsilon,0.874,"[1.62e-06, 1.62e-06]",0.874,"[0.829, 0.922]","[0.829, 0.922]","[0.829, 0.922]",0.921,0.921
Fk=beta^2/eta*k,51983.007,"[0.415, 0.415]",51983.006,"[50592.448, 53411.786]","[50592.448, 53411.786]","[50592.448, 53411.786]",52454.504,52454.504
Dk =beta*epsilon/eta*k^2,54177.338,"[1.052, 1.052]",54177.338,"[50663.809, 57934.53]","[50663.809, 57934.53]","[50663.809, 57934.53]",56938.198,56938.198
Fk^2/Dk=beta^3/eta*epsilon,47436.977,"[0.00368, 0.00368]",47436.977,"[45027.655, 49975.216]","[45027.655, 49975.216]","[45027.655, 49975.216]",48323.887,48323.887
epsilon/beta^2,0.817,"[3.29e-10, 3.29e-10]",0.817,"[0.779, 0.858]","[0.779, 0.858]","[0.779, 0.858]",0.851,0.851
k/beta,0.785,"[1.81e-09, 1.81e-09]",0.785,"[0.763, 0.808]","[0.763, 0.808]","[0.763, 0.808]",0.784,0.784
k^2/epsilon,0.678,"[3.92e-09, 3.92e-09]",0.678,"[0.632, 0.728]","[0.632, 0.728]","[0.632, 0.728]",0.723,0.723
eta/xc,1.2e-06,"[7.5e-19, 7.5e-19]",1.2e-06,"[1.17e-06, 1.24e-06]","[1.17e-06, 1.24e-06]","[1.17e-06, 1.24e-06]",1.17e-06,1.17e-06
beta/xc,0.0487,"[3.45e-14, 3.45e-14]",0.0487,"[0.0472, 0.0503]","[0.0472, 0.0503]","[0.0472, 0.0503]",0.0483,0.0483
epsilon/xc^2,0.00198,"[3.21e-12, 3.21e-12]",0.00198,"[0.00194, 0.00202]","[0.00194, 0.00202]","[0.00194, 0.00202]",0.00198,0.00198
k/xc,0.0388,"[1.05e-10, 1.05e-10]",0.0388,"[0.0375, 0.0401]","[0.0375, 0.0401]","[0.0375, 0.0401]",0.0379,0.0379
best fit no ext hazard_MedianLifetime,27885.74,185.0,27885.74,"[27705.800000000003, 28070.74]","[27705.800000000003, 28070.74]","[27705.800000000003, 28070.74]",27885.74,
best fit no ext hazard_MaxLifetime,40150.0,0,40150.0,"[40150.0, 40150.0]","[40150.0, 40150.0]","[40150.0, 40150.0]",40150.0,
best fit_MedianLifetime,27709.04,185.11000000000058,27709.04,"[27528.99, 27894.15]","[27528.99, 27894.15]","[27528.99, 27894.15]",27709.04,
best fit_MaxLifetime,39579.76,0,39579.76,"[39579.76, 39579.76]","[39579.76, 39579.76]","[39579.76, 39579.76]",39579.76,
data_MedianLifetime,25550.0,182.7599999999984,25550.0,"[25369.5, 25732.76]","[25369.5, 25732.76]","[25369.5, 25732.76]",25550.0,
data_MaxLifetime,39602.5,0,39602.5,"[39602.5, 39602.5]","[39602.5, 39602.5]","[39602.5, 39602.5]",39602.5,
ML_lnprob,-346955.23771160276,"[-346955.23771160276, -346955.23771160276]",-346955.23771160276,"[-346955.23771160276, -346955.23771160276]","[-346955.23771160276, -346955.23771160276]","[-346955.23771160276, -346955.23771160276]",-346955.23771160276,-346955.23771160276
