,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,113042.849,"[42297.481, 67586.443]",96640.667,"[94384.601, 103737.611]","[74526.958, 114017.454]","[58847.179, 266862.299]",264566.834,264566.834
beta/eta,9691.729,"[2213.894, 2869.341]",10025.583,"[9882.489, 10170.748]","[9330.249, 10772.735]","[6061.708, 20278.233]",7013.293,7013.293
xc^2/epsilon,183.532,"[72.066, 118.66]",158.032,"[149.507, 160.98]","[115.421, 173.332]","[92.462, 470.256]",451.516,451.516
xc,6.798,"[3.959, 9.481]",6.112,"[5.915, 6.744]","[4.55, 6.744]","[0.679, 62.698]",29.48,29.48
ExtH,5.402,"[0.137, 0.14]",5.433,"[5.411, 5.455]","[5.298, 5.464]","[5.255, 5.757]",5.434,5.434
eta,6.08e-05,"[3.16e-05, 6.59e-05]",0.000102,"[9.88e-05, 0.000111]","[7.34e-05, 0.000118]","[7.2e-06, 0.000179]",0.000111,0.000111
beta,0.583,"[0.251, 0.442]",0.777,"[0.76, 0.832]","[0.694, 1.043]","[0.156, 1.142]",0.781,0.781
epsilon,0.264,"[0.208, 0.99]",0.318,"[0.299, 0.382]","[0.143, 0.432]","[0.00319, 7.261]",1.925,1.925
sqrt(xc/eta),337.092,"[70.874, 89.742]",310.871,"[307.221, 322.083]","[272.996, 337.665]","[242.584, 516.587]",514.361,514.361
s= eta^0.5*xc^1.5/epsilon,0.547,"[0.129, 0.168]",0.436,"[0.43, 0.451]","[0.42, 0.52]","[0.383, 0.938]",0.878,0.878
beta*xc/epsilon,15.685,"[3.567, 4.618]",16.106,"[15.804, 16.414]","[14.651, 16.414]","[10.032, 30.087]",11.969,11.969
eta*xc/epsilon,0.00162,"[7.19e-05, 7.53e-05]",0.00157,"[0.00155, 0.00158]","[0.00155, 0.00167]","[0.0015, 0.00179]",0.00171,0.00171
Fx=beta^2/eta*xc,808.206,"[474.228, 1147.601]",1321.287,"[1258.589, 1387.109]","[774.018, 1387.109]","[75.043, 3667.554]",185.912,185.912
Dx =beta*epsilon/eta*xc^2,51.73,"[25.492, 50.261]",81.37,"[78.895, 89.269]","[54.463, 89.269]","[9.082, 114.287]",15.533,15.533
Pk=beta*k/epsilon,1.121,"[0.757, 2.331]",1.304,"[1.241, 1.371]","[1.016, 1.851]","[0.0835, 20.389]",0.203,0.203
Fk=beta^2/eta*k,11201.341,"[4327.608, 7052.21]",15878.04,"[15420.16, 17334.883]","[10854.075, 19487.356]","[4013.476, 21907.102]",10961.539,10961.539
Dk =beta*epsilon/eta*k^2,9626.206,"[7215.988, 28820.044]",13458.642,"[11451.889, 14202.865]","[6685.441, 21846.084]","[213.378, 168893.317]",53997.652,53997.652
Fk^2/Dk=beta^3/eta*epsilon,12917.276,"[8819.331, 27799.721]",20683.002,"[16950.03, 22101.815]","[11383.722, 28819.431]","[914.826, 184708.806]",2225.196,2225.196
epsilon/beta^2,0.765,"[0.443, 1.051]",0.478,"[0.453, 0.562]","[0.453, 0.864]","[0.213, 5.995]",3.152,3.152
k/beta,0.861,"[0.373, 0.657]",0.643,"[0.601, 0.658]","[0.479, 0.72]","[0.438, 3.201]",0.64,0.64
k^2/epsilon,0.967,"[0.763, 3.616]",0.786,"[0.654, 0.836]","[0.578, 1.745]","[0.0344, 78.37]",0.13,0.13
eta/xc,8.85e-06,"[3.31e-06, 5.29e-06]",1.03e-05,"[9.64e-06, 1.06e-05]","[8.77e-06, 1.34e-05]","[3.75e-06, 1.7e-05]",3.78e-06,3.78e-06
beta/xc,0.0853,"[0.0407, 0.0779]",0.131,"[0.118, 0.136]","[0.0887, 0.145]","[0.0175, 0.193]",0.0265,0.0265
epsilon/xc^2,0.00546,"[0.00214, 0.00353]",0.00633,"[0.00599, 0.00669]","[0.00577, 0.00866]","[0.00213, 0.0108]",0.00221,0.00221
k/xc,0.0726,"[0.0416, 0.0976]",0.0817,"[0.0741, 0.0845]","[0.0741, 0.11]","[0.00797, 0.645]",0.017,0.017
best fit no ext hazard_MedianLifetime,4491.27,185.0600000000004,4491.27,"[4311.27, 4676.330000000001]","[4311.27, 4676.330000000001]","[4311.27, 4676.330000000001]",4491.27,
best fit no ext hazard_MaxLifetime,7324.82,0,7324.82,"[7324.82, 7324.82]","[7324.82, 7324.82]","[7324.82, 7324.82]",7324.82,
best fit_MedianLifetime,4417.68,185.0600000000004,4417.68,"[4237.68, 4602.740000000001]","[4237.68, 4602.740000000001]","[4237.68, 4602.740000000001]",4417.68,
best fit_MaxLifetime,7296.79,0,7296.79,"[7296.79, 7296.79]","[7296.79, 7296.79]","[7296.79, 7296.79]",7296.79,
data_MedianLifetime,4402.98,190.22999999999956,4402.98,"[4228.349999999999, 4593.209999999999]","[4228.349999999999, 4593.209999999999]","[4228.349999999999, 4593.209999999999]",4402.98,
data_MaxLifetime,7253.03,0,7253.03,"[7253.03, 7253.03]","[7253.03, 7253.03]","[7253.03, 7253.03]",7253.03,
ML_lnprob,-17573.376625049652,"[-17573.376625049652, -17573.376625049652]",-17573.376625049652,"[-17573.376625049652, -17573.376625049652]","[-17573.376625049652, -17573.376625049652]","[-17573.376625049652, -17573.376625049652]",-17573.376625049652,-17573.376625049652
