,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,365868.578,"[2.41e-08, 2.4e-08]",365868.578,"[357804.354, 374114.554]","[357804.354, 374114.554]","[357804.354, 374114.554]",359816.855,359816.855
beta/eta,42601.663,"[3.06e-10, 3.06e-10]",42601.663,"[42400.201, 42804.082]","[42400.201, 42804.082]","[42400.201, 42804.082]",42604.247,42604.247
xc^2/epsilon,338.699,"[9.61e-12, 9.66e-12]",338.699,"[332.298, 345.224]","[332.298, 345.224]","[332.298, 345.224]",345.086,345.086
xc,6.159,"[2.61e-13, 2.61e-13]",6.159,"[5.984, 6.338]","[5.984, 6.338]","[5.984, 6.338]",6.326,6.326
ExtH,7.204,"[0.0, 0.0]",7.204,"[7.198, 7.209]","[7.198, 7.209]","[7.198, 7.209]",7.206,7.206
eta,1.67e-05,"[7.98e-11, 7.98e-11]",1.67e-05,"[1.63e-05, 1.71e-05]","[1.63e-05, 1.71e-05]","[1.63e-05, 1.71e-05]",1.76e-05,1.66e-05
beta,0.721,"[2.99e-06, 2.99e-06]",0.721,"[0.706, 0.736]","[0.706, 0.736]","[0.706, 0.736]",0.749,0.717
epsilon,0.121,"[4.02e-11, 4.02e-11]",0.121,"[0.114, 0.128]","[0.114, 0.128]","[0.114, 0.128]",0.116,0.125
sqrt(xc/eta),604.871,"[0.0, 0.0]",604.871,"[598.167, 611.649]","[598.167, 611.649]","[598.167, 611.649]",599.847,599.847
s= eta^0.5*xc^1.5/epsilon,0.582,"[0.0, 0.0]",0.582,"[0.572, 0.592]","[0.572, 0.592]","[0.572, 0.592]",0.575,0.575
beta*xc/epsilon,41.209,"[0.0, 0.0]",41.209,"[40.396, 42.039]","[40.396, 42.039]","[40.396, 42.039]",40.86,40.86
eta*xc/epsilon,0.000917,"[1.43e-05, 1.46e-05]",0.000922,"[0.000905, 0.00094]","[0.000905, 0.00094]","[0.00087, 0.00094]",0.000959,0.000926
Fx=beta^2/eta*xc,4916.645,"[105.357, 107.664]",4966.616,"[4828.24, 5108.957]","[4828.24, 5108.957]","[4562.946, 5108.957]",5044.572,4899.297
Dx =beta*epsilon/eta*xc^2,124.173,"[0.000218, 0.000218]",124.173,"[121.478, 126.928]","[121.478, 126.928]","[121.478, 126.928]",123.46,123.569
Pk=beta*k/epsilon,3.163,"[0.000243, 0.000243]",3.163,"[3.028, 3.303]","[3.028, 3.303]","[3.028, 3.303]",3.229,3.229
Fk=beta^2/eta*k,65167.095,"[2.407, 2.407]",65167.097,"[63819.92, 66542.712]","[63819.92, 66542.712]","[63819.92, 66542.712]",63826.067,63826.067
Dk =beta*epsilon/eta*k^2,18780.419,"[1.47e-09, 1.47e-09]",18780.419,"[17804.712, 19809.594]","[17804.712, 19809.594]","[17804.712, 19809.594]",19763.934,19763.934
Fk^2/Dk=beta^3/eta*epsilon,197542.77,"[1.34e-08, 1.33e-08]",197542.77,"[188712.904, 206785.786]","[188712.904, 206785.786]","[188712.904, 206785.786]",206121.251,206121.251
epsilon/beta^2,0.203,"[2.59e-14, 2.59e-14]",0.203,"[0.195, 0.212]","[0.195, 0.212]","[0.195, 0.212]",0.207,0.207
k/beta,0.665,"[2.07e-14, 2.05e-14]",0.665,"[0.651, 0.679]","[0.651, 0.679]","[0.651, 0.679]",0.668,0.668
k^2/epsilon,2.06,"[0.0, 0.0]",2.06,"[1.947, 2.181]","[1.947, 2.181]","[1.947, 2.181]",2.156,2.156
eta/xc,2.73e-06,"[0.0, 0.0]",2.73e-06,"[2.67e-06, 2.79e-06]","[2.67e-06, 2.79e-06]","[2.67e-06, 2.79e-06]",2.78e-06,2.78e-06
beta/xc,0.121,"[0.0, 0.0]",0.121,"[0.118, 0.124]","[0.118, 0.124]","[0.118, 0.124]",0.118,0.118
epsilon/xc^2,0.00295,"[0.0, 0.0]",0.00295,"[0.0029, 0.00301]","[0.0029, 0.00301]","[0.0029, 0.00301]",0.0029,0.0029
k/xc,0.0811,"[0.0, 0.0]",0.0811,"[0.0788, 0.0835]","[0.0788, 0.0835]","[0.0788, 0.0835]",0.079,0.079
best fit no ext hazard_MedianLifetime,30014.11,185.0600000000013,30014.11,"[29834.11, 30199.170000000002]","[29834.11, 30199.170000000002]","[29834.11, 30199.170000000002]",30014.11,
best fit no ext hazard_MaxLifetime,39017.54,0,39017.54,"[39017.54, 39017.54]","[39017.54, 39017.54]","[39017.54, 39017.54]",39017.54,
best fit_MedianLifetime,29676.79,185.0,29676.79,"[29496.850000000002, 29861.79]","[29496.850000000002, 29861.79]","[29496.850000000002, 29861.79]",29676.79,
best fit_MaxLifetime,38776.6,0,38776.6,"[38776.6, 38776.6]","[38776.6, 38776.6]","[38776.6, 38776.6]",38776.6,
data_MedianLifetime,29017.5,183.97999999999956,29017.5,"[28835.78, 29201.48]","[28835.78, 29201.48]","[28835.78, 29201.48]",29017.5,
data_MaxLifetime,40150.0,0,40150.0,"[40150.0, 40150.0]","[40150.0, 40150.0]","[40150.0, 40150.0]",40150.0,
ML_lnprob,-384645.7519822385,"[-384645.7519822385, -384645.7519822385]",-384645.7519822385,"[-384645.7519822385, -384645.7519822385]","[-384645.7519822385, -384645.7519822385]","[-384645.7519822385, -384645.7519822385]",-384645.7519822385,-384645.7519822385
