,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,3309716.626,"[75409.179, 77167.374]",3325056.174,"[3228661.759, 3424328.525]","[3228661.759, 3424328.525]","[3228661.759, 3424328.525]",3239025.536,3239025.536
beta/eta,35604.11,"[225.552, 226.99]",35650.165,"[35505.268, 35795.654]","[35505.268, 35795.654]","[35505.268, 35795.654]",35785.825,35785.825
xc^2/epsilon,2132.03,"[49.318, 50.486]",2142.065,"[2099.826, 2185.154]","[2099.826, 2185.154]","[2099.826, 2185.154]",2154.749,2154.749
xc,14.511,"[1.97, 2.28]",14.087,"[13.655, 14.534]","[13.655, 14.534]","[13.655, 14.534]",13.662,13.662
ExtH,7.005,"[0.038, 0.0382]",7.012,"[7.007, 7.018]","[7.007, 7.018]","[7.007, 7.018]",7.015,7.015
eta,4.33e-06,"[7.06e-07, 8.44e-07]",4.18e-06,"[4.07e-06, 4.29e-06]","[4.07e-06, 4.29e-06]","[4.07e-06, 4.29e-06]",4.22e-06,4.22e-06
beta,0.156,"[0.0242, 0.0286]",0.15,"[0.147, 0.154]","[0.147, 0.154]","[0.147, 0.154]",0.151,0.151
epsilon,0.0923,"[0.0255, 0.0352]",0.0864,"[0.0811, 0.0921]","[0.0811, 0.0921]","[0.0811, 0.0921]",0.0866,0.0866
sqrt(xc/eta),1819.263,"[20.845, 21.086]",1823.474,"[1796.848, 1850.494]","[1796.848, 1850.494]","[1796.848, 1850.494]",1799.729,1799.729
s= eta^0.5*xc^1.5/epsilon,1.195,"[0.0192, 0.0195]",1.198,"[1.182, 1.215]","[1.182, 1.215]","[1.182, 1.215]",1.197,1.197
beta*xc/epsilon,24.063,"[0.365, 0.371]",24.139,"[23.672, 24.615]","[23.672, 24.615]","[23.672, 24.615]",23.806,23.806
eta*xc/epsilon,0.000663,"[4.52e-06, 4.55e-06]",0.000663,"[0.000652, 0.000675]","[0.000652, 0.000675]","[0.000652, 0.000675]",0.000665,0.000665
Fx=beta^2/eta*xc,390.062,"[0.977, 0.979]",390.079,"[376.461, 404.189]","[376.461, 404.189]","[376.461, 404.189]",395.374,395.374
Dx =beta*epsilon/eta*xc^2,16.976,"[0.16, 0.162]",16.945,"[16.552, 17.347]","[16.552, 17.347]","[16.552, 17.347]",16.608,16.608
Pk=beta*k/epsilon,0.84,"[0.133, 0.158]",0.87,"[0.828, 0.914]","[0.828, 0.914]","[0.828, 0.914]",0.871,0.871
Fk=beta^2/eta*k,10959.393,"[1663.961, 1961.825]",10599.318,"[10353.614, 10850.853]","[10353.614, 10850.853]","[10353.614, 10850.853]",10802.884,10802.884
Dk =beta*epsilon/eta*k^2,13700.654,"[3879.706, 5412.36]",12805.06,"[12047.655, 13610.081]","[12047.655, 13610.081]","[12047.655, 13610.081]",12398.764,12398.764
Fk^2/Dk=beta^3/eta*epsilon,9055.037,"[33.568, 33.693]",9055.62,"[8588.363, 9548.298]","[8588.363, 9548.298]","[8588.363, 9548.298]",9412.415,9412.415
epsilon/beta^2,3.812,"[0.0133, 0.0133]",3.812,"[3.627, 4.007]","[3.627, 4.007]","[3.627, 4.007]",3.802,3.802
k/beta,3.21,"[0.499, 0.59]",3.322,"[3.243, 3.403]","[3.243, 3.403]","[3.243, 3.403]",3.313,3.313
k^2/epsilon,2.706,"[0.748, 1.033]",2.89,"[2.711, 3.08]","[2.711, 3.08]","[2.711, 3.08]",2.886,2.886
eta/xc,3.02e-07,"[6.88e-09, 7.04e-09]",3.01e-07,"[2.92e-07, 3.1e-07]","[2.92e-07, 3.1e-07]","[2.92e-07, 3.1e-07]",3.09e-07,3.09e-07
beta/xc,0.0108,"[0.000138, 0.00014]",0.0108,"[0.0105, 0.0112]","[0.0105, 0.0112]","[0.0105, 0.0112]",0.011,0.011
epsilon/xc^2,0.000469,"[1.08e-05, 1.11e-05]",0.000467,"[0.000458, 0.000476]","[0.000458, 0.000476]","[0.000458, 0.000476]",0.000464,0.000464
k/xc,0.0344,"[0.00468, 0.00541]",0.0355,"[0.0344, 0.0366]","[0.0344, 0.0366]","[0.0344, 0.0366]",0.0366,0.0366
best fit no ext hazard_MedianLifetime,28086.53,184.97999999999956,28086.53,"[27906.6, 28271.51]","[27906.6, 28271.51]","[27906.6, 28271.51]",28086.53,
best fit no ext hazard_MaxLifetime,39611.88,0,39611.88,"[39611.88, 39611.88]","[39611.88, 39611.88]","[39611.88, 39611.88]",39611.88,
best fit_MedianLifetime,27676.92,185.02000000000044,27676.92,"[27496.96, 27861.94]","[27496.96, 27861.94]","[27496.96, 27861.94]",27676.92,
best fit_MaxLifetime,39218.33,0,39218.33,"[39218.33, 39218.33]","[39218.33, 39218.33]","[39218.33, 39218.33]",39218.33,
data_MedianLifetime,26462.5,181.90000000000146,26462.5,"[26282.86, 26644.4]","[26282.86, 26644.4]","[26282.86, 26644.4]",26462.5,
data_MaxLifetime,39237.5,0,39237.5,"[39237.5, 39237.5]","[39237.5, 39237.5]","[39237.5, 39237.5]",39237.5,
ML_lnprob,-377729.8498961141,"[-377729.8498961141, -377729.8498961141]",-377729.8498961141,"[-377729.8498961141, -377729.8498961141]","[-377729.8498961141, -377729.8498961141]","[-377729.8498961141, -377729.8498961141]",-377729.8498961141,-377729.8498961141
