,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,551060.498,"[60616.573, 68108.498]",574034.186,"[559174.372, 589288.893]","[559174.372, 589288.893]","[387329.235, 850736.833]",569232.904,569232.904
beta/eta,10828.222,"[549.371, 578.733]",10727.393,"[10604.493, 10851.718]","[10604.493, 10851.718]","[5824.601, 11899.615]",10710.349,10710.349
xc^2/epsilon,492.095,"[64.683, 74.472]",515.295,"[502.372, 528.55]","[502.372, 528.55]","[318.042, 924.162]",503.158,503.158
xc,17.681,"[4.572, 6.167]",18.636,"[17.956, 19.341]","[17.956, 19.341]","[14.369, 24.169]",18.533,18.533
ExtH,4.613,"[0.0222, 0.0223]",4.608,"[4.6, 4.617]","[4.6, 4.617]","[4.565, 4.652]",4.614,4.614
eta,3.26e-05,"[7.64e-06, 9.98e-06]",3.28e-05,"[3.15e-05, 3.42e-05]","[3.15e-05, 3.42e-05]","[2.89e-05, 4.79e-05]",3.26e-05,3.26e-05
beta,0.343,"[0.075, 0.096]",0.34,"[0.327, 0.353]","[0.327, 0.353]","[0.143, 0.554]",0.349,0.349
epsilon,0.661,"[0.284, 0.497]",0.714,"[0.66, 0.773]","[0.66, 0.773]","[0.41, 1.061]",0.683,0.683
sqrt(xc/eta),742.335,"[42.018, 44.539]",757.65,"[747.78, 767.652]","[747.78, 767.652]","[622.358, 922.354]",754.475,754.475
s= eta^0.5*xc^1.5/epsilon,0.65,"[0.0436, 0.0467]",0.659,"[0.649, 0.669]","[0.649, 0.669]","[0.527, 3.742]",0.667,0.667
beta*xc/epsilon,9.604,"[0.433, 0.454]",9.527,"[9.408, 9.647]","[9.408, 9.647]","[6.787, 10.144]",9.467,9.467
eta*xc/epsilon,0.000889,"[1.35e-05, 1.37e-05]",0.00089,"[0.000884, 0.000896]","[0.000884, 0.000896]","[0.000859, 0.000896]",0.000884,0.000884
Fx=beta^2/eta*xc,213.549,"[40.424, 49.863]",203.817,"[194.79, 213.263]","[194.79, 213.263]","[1.461, 367.287]",201.52,201.52
Dx =beta*epsilon/eta*xc^2,21.993,"[3.495, 4.155]",20.798,"[20.082, 21.539]","[20.082, 21.539]","[0.604, 35.175]",21.286,21.286
Pk=beta*k/epsilon,0.272,"[0.0771, 0.108]",0.254,"[0.243, 0.266]","[0.243, 0.266]","[0.203, 0.318]",0.255,0.255
Fk=beta^2/eta*k,7443.295,"[1532.365, 1929.619]",7304.643,"[7025.506, 7594.871]","[7025.506, 7594.871]","[5144.065, 13104.485]",7469.705,7469.705
Dk =beta*epsilon/eta*k^2,29200.799,"[11612.449, 19279.396]",31392.832,"[29129.061, 33832.531]","[29129.061, 33832.531]","[21592.875, 53010.086]",29246.357,29246.357
Fk^2/Dk=beta^3/eta*epsilon,2008.613,"[468.374, 610.804]",1834.901,"[1732.262, 1943.621]","[1732.262, 1943.621]","[24.473, 3877.929]",1907.81,1907.81
epsilon/beta^2,5.306,"[0.987, 1.212]",5.7,"[5.442, 5.97]","[5.442, 5.97]","[3.12, 466.342]",5.614,5.614
k/beta,1.457,"[0.319, 0.408]",1.471,"[1.416, 1.527]","[1.416, 1.527]","[0.902, 3.492]",1.434,1.434
k^2/epsilon,0.378,"[0.162, 0.284]",0.35,"[0.323, 0.378]","[0.323, 0.378]","[0.235, 0.609]",0.366,0.366
eta/xc,1.81e-06,"[2e-07, 2.24e-07]",1.74e-06,"[1.7e-06, 1.79e-06]","[1.7e-06, 1.79e-06]","[1.18e-06, 2.58e-06]",1.76e-06,1.76e-06
beta/xc,0.0193,"[0.00301, 0.00357]",0.0182,"[0.0175, 0.0188]","[0.0175, 0.0188]","[0.00144, 0.0311]",0.0188,0.0188
epsilon/xc^2,0.00203,"[0.000267, 0.000308]",0.00194,"[0.00189, 0.00199]","[0.00189, 0.00199]","[0.00108, 0.00314]",0.00199,0.00199
k/xc,0.0283,"[0.00731, 0.00986]",0.0268,"[0.0258, 0.0278]","[0.0258, 0.0278]","[0.0207, 0.0348]",0.027,0.027
best fit no ext hazard_MedianLifetime,4833.57,184.97999999999956,4833.57,"[4653.639999999999, 5018.549999999999]","[4653.639999999999, 5018.549999999999]","[4653.639999999999, 5018.549999999999]",4833.57,
best fit no ext hazard_MaxLifetime,9125.0,0,9125.0,"[9125.0, 9125.0]","[9125.0, 9125.0]","[9125.0, 9125.0]",9125.0,
best fit_MedianLifetime,4556.11,184.94999999999982,4556.11,"[4376.219999999999, 4741.0599999999995]","[4376.219999999999, 4741.0599999999995]","[4376.219999999999, 4741.0599999999995]",4556.11,
best fit_MaxLifetime,9125.0,0,9125.0,"[9125.0, 9125.0]","[9125.0, 9125.0]","[9125.0, 9125.0]",9125.0,
data_MedianLifetime,4577.1,188.98999999999978,4577.1,"[4401.320000000001, 4766.09]","[4401.320000000001, 4766.09]","[4401.320000000001, 4766.09]",4577.1,
data_MaxLifetime,9672.5,0,9672.5,"[9672.5, 9672.5]","[9672.5, 9672.5]","[9672.5, 9672.5]",9672.5,
ML_lnprob,-21910.355072076876,"[-21910.355072076876, -21910.355072076876]",-21910.355072076876,"[-21910.355072076876, -21910.355072076876]","[-21910.355072076876, -21910.355072076876]","[-21910.355072076876, -21910.355072076876]",-21910.355072076876,-21910.355072076876
