,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,0.0548,"[0.0142, 0.0192]",0.0429,"[0.042, 0.0438]","[0.042, 0.0438]","[0.0386, 0.0821]",0.0434,0.0434
beta/eta,7.248,"[0.732, 0.814]",7.721,"[7.627, 7.815]","[7.627, 7.815]","[6.281, 7.815]",7.778,7.778
xc^2/epsilon,0.109,"[0.0291, 0.0397]",0.0844,"[0.0825, 0.0862]","[0.0825, 0.0862]","[0.0825, 0.166]",0.0859,0.0859
xc,4.982,"[1.317, 1.79]",4.275,"[4.132, 4.424]","[4.132, 4.424]","[3.144, 7.638]",4.408,4.408
eta,90.859,"[13.924, 16.444]",100.971,"[98.185, 103.838]","[98.185, 103.838]","[74.214, 116.139]",101.629,101.629
beta,653.086,"[121.106, 148.676]",788.42,"[771.841, 805.354]","[771.841, 805.354]","[504.591, 805.354]",790.473,790.473
epsilon,226.721,"[67.425, 95.965]",238.396,"[224.616, 253.022]","[224.616, 253.022]","[139.501, 516.957]",226.235,226.235
sqrt(xc/eta),0.236,"[0.0351, 0.0413]",0.207,"[0.205, 0.209]","[0.205, 0.209]","[0.197, 0.286]",0.208,0.208
s= eta^0.5*xc^1.5/epsilon,0.473,"[0.0744, 0.0883]",0.412,"[0.407, 0.417]","[0.407, 0.417]","[0.37, 0.587]",0.412,0.412
beta*xc/epsilon,14.538,"[1.587, 1.781]",15.454,"[15.285, 15.624]","[15.285, 15.624]","[11.493, 15.624]",15.401,15.401
eta*xc/epsilon,1.998,"[0.0274, 0.0277]",1.988,"[1.979, 1.997]","[1.979, 2.016]","[1.942, 2.036]",1.98,1.98
Fx=beta^2/eta*xc,803.866,"[370.835, 688.407]",1444.238,"[1383.536, 1507.604]","[758.426, 1950.641]","[294.883, 1950.641]",1394.851,1394.851
Dx =beta*epsilon/eta*xc^2,56.634,"[21.107, 33.646]",89.191,"[86.29, 92.19]","[54.311, 98.494]","[26.237, 98.494]",90.567,90.567
Pk=beta*k/epsilon,1.501,"[0.515, 0.784]",1.807,"[1.73, 1.887]","[1.73, 1.887]","[0.862, 2.45]",1.747,1.747
Fk=beta^2/eta*k,9928.133,"[2187.91, 2806.361]",12050.826,"[11720.113, 12390.872]","[11720.113, 12390.872]","[7102.336, 12390.872]",12296.637,12296.637
Dk =beta*epsilon/eta*k^2,6611.183,"[1884.179, 2635.211]",6877.514,"[6541.013, 7231.328]","[6541.013, 7231.328]","[3582.669, 8838.207]",7038.655,7038.655
Fk^2/Dk=beta^3/eta*epsilon,16567.319,"[6580.871, 10917.535]",20461.808,"[19401.983, 21579.525]","[19401.983, 21579.525]","[6021.333, 21579.525]",21482.412,21482.412
epsilon/beta^2,0.000875,"[0.000303, 0.000464]",0.000978,"[0.000938, 0.00102]","[0.000938, 0.00102]","[0.000613, 0.00283]",0.000362,0.000969
k/beta,0.000911,"[9.58e-05, 0.000107]",0.00089,"[0.000872, 0.00091]","[0.000872, 0.00091]","[0.000872, 0.00103]",0.000633,0.000872
k^2/epsilon,0.00096,"[0.000418, 0.000742]",0.000825,"[0.000778, 0.000876]","[0.000778, 0.000876]","[0.0003, 0.00159]",0.00111,0.000786
eta/xc,21.773,"[3.934, 4.802]",23.32,"[22.836, 23.813]","[22.836, 23.813]","[12.705, 25.894]",23.056,23.056
beta/xc,169.031,"[40.102, 52.575]",183.437,"[177.721, 189.336]","[177.721, 189.336]","[83.137, 201.711]",179.332,179.332
epsilon/xc^2,11.007,"[2.055, 2.526]",11.853,"[11.598, 12.115]","[11.598, 12.115]","[6.3, 12.115]",11.644,11.644
k/xc,0.115,"[0.0236, 0.0296]",0.117,"[0.113, 0.121]","[0.113, 0.121]","[0.075, 0.148]",0.113,0.113
best fit no ext hazard_MedianLifetime,2.75,0.020999999999999908,2.75,"[2.729, 2.771]","[2.729, 2.771]","[2.729, 2.771]",2.75,
best fit no ext hazard_MaxLifetime,4.98,0,4.98,"[4.98, 4.98]","[4.98, 4.98]","[4.98, 4.98]",4.98,
best fit_MedianLifetime,2.76,0.020999999999999908,2.76,"[2.739, 2.7809999999999997]","[2.739, 2.7809999999999997]","[2.739, 2.7809999999999997]",2.76,
best fit_MaxLifetime,4.93,0,4.93,"[4.93, 4.93]","[4.93, 4.93]","[4.93, 4.93]",4.93,
data_MedianLifetime,2.84,0.020999999999999908,2.84,"[2.82, 2.8609999999999998]","[2.82, 2.8609999999999998]","[2.82, 2.8609999999999998]",2.84,
data_MaxLifetime,5.74,0,5.74,"[5.74, 5.74]","[5.74, 5.74]","[5.74, 5.74]",5.74,
ML_lnprob,-49914.22568292802,"[-49914.22568292802, -49914.22568292802]",-49914.22568292802,"[-49914.22568292802, -49914.22568292802]","[-49914.22568292802, -49914.22568292802]","[-49914.22568292802, -49914.22568292802]",-49914.22568292802,-49914.22568292802
