,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,47756.843,"[9677.832, 12137.467]",40833.909,"[37974.67, 41834.053]","[36180.624, 53286.814]","[31291.196, 74773.12]",51915.071,40906.477
beta/eta,821.649,"[69.912, 76.413]",874.45,"[852.719, 896.736]","[771.06, 896.736]","[697.221, 991.704]",786.232,867.423
xc^2/epsilon,722.126,"[181.268, 242.019]",607.108,"[557.743, 624.515]","[527.083, 828.545]","[397.289, 1230.83]",790.149,596.391
xc,53.169,"[31.3, 76.097]",30.72,"[29.576, 40.068]","[29.576, 99.627]","[11.895, 247.719]",95.099,29.7
eta,0.00124,"[0.000741, 0.00184]",0.00228,"[0.00219, 0.00237]","[0.00173, 0.00408]","[0.000156, 0.00476]",0.00183,0.00222
beta,1.0,"[0.572, 1.337]",1.77,"[1.696, 1.846]","[1.432, 3.341]","[0.187, 3.341]",1.44,1.77
epsilon,4.657,"[3.93, 25.177]",14.801,"[13.722, 15.966]","[8.711, 53.641]","[0.0795, 84.501]",11.446,15.566
sqrt(xc/eta),220.529,"[23.719, 26.577]",239.372,"[236.493, 248.22]","[214.676, 260.528]","[181.226, 280.144]",227.849,236.949
s= eta^0.5*xc^1.5/epsilon,3.308,"[0.529, 0.629]",3.595,"[3.415, 3.656]","[2.88, 3.656]","[2.193, 4.486]",3.468,3.629
beta*xc/epsilon,12.319,"[0.602, 0.633]",12.154,"[11.883, 12.431]","[11.883, 13.005]","[11.359, 13.605]",11.966,11.943
eta*xc/epsilon,0.015,"[0.000906, 0.000964]",0.0154,"[0.015, 0.0155]","[0.0144, 0.0157]","[0.0132, 0.0171]",0.0152,0.0153
Fx=beta^2/eta*xc,13.429,"[4.35, 6.435]",11.233,"[10.471, 12.052]","[10.471, 18.378]","[5.965, 28.025]",11.907,11.482
Dx =beta*epsilon/eta*xc^2,1.102,"[0.332, 0.475]",0.969,"[0.838, 1.018]","[0.838, 1.363]","[0.568, 2.443]",0.995,0.968
Pk=beta*k/epsilon,0.132,"[0.0748, 0.172]",0.178,"[0.169, 0.188]","[0.0996, 0.232]","[0.0252, 0.541]",0.0629,0.169
Fk=beta^2/eta*k,1213.16,"[614.136, 1243.766]",753.466,"[710.454, 799.083]","[561.595, 1137.0]","[443.926, 5241.926]",2264.717,726.115
Dk =beta*epsilon/eta*k^2,15617.638,"[12960.249, 76168.189]",49516.427,"[46018.203, 53280.58]","[29649.12, 172061.302]","[365.455, 230654.415]",35995.864,49744.986
Fk^2/Dk=beta^3/eta*epsilon,173.344,"[51.549, 73.366]",172.907,"[157.572, 189.736]","[157.572, 228.465]","[90.254, 398.872]",142.487,160.74
epsilon/beta^2,4.414,"[1.41, 2.071]",4.979,"[4.653, 5.328]","[4.063, 6.987]","[2.063, 10.492]",5.518,3.531
k/beta,0.601,"[0.342, 0.791]",0.659,"[0.631, 0.748]","[0.271, 0.965]","[0.15, 2.666]",0.347,0.643
k^2/epsilon,0.0829,"[0.0698, 0.44]",0.121,"[0.112, 0.152]","[0.0451, 0.803]","[0.00254, 3.652]",0.0218,0.117
eta/xc,2.16e-05,"[4.49e-06, 5.67e-06]",2.45e-05,"[2.39e-05, 2.63e-05]","[1.88e-05, 2.76e-05]","[1.34e-05, 3.35e-05]",1.93e-05,2.44e-05
beta/xc,0.0183,"[0.00533, 0.00751]",0.0151,"[0.0144, 0.0173]","[0.0144, 0.0227]","[0.00918, 0.0326]",0.0151,0.0212
epsilon/xc^2,0.00145,"[0.000372, 0.000501]",0.00165,"[0.00151, 0.00169]","[0.00121, 0.0019]","[0.000812, 0.00252]",0.00127,0.00168
k/xc,0.0112,"[0.00688, 0.018]",0.0163,"[0.0125, 0.0169]","[0.00431, 0.0169]","[0.00202, 0.0453]",0.00526,0.0168
best fit no ext hazard_MedianLifetime,886.69,3.5499999999999545,886.69,"[883.24, 890.24]","[883.24, 890.24]","[883.24, 890.24]",886.69,
best fit no ext hazard_MaxLifetime,1406.9,0,1406.9,"[1406.9, 1406.9]","[1406.9, 1406.9]","[1406.9, 1406.9]",1406.9,
best fit_MedianLifetime,885.2,3.5499999999999545,885.2,"[881.75, 888.75]","[881.75, 888.75]","[881.75, 888.75]",885.2,
best fit_MaxLifetime,1437.17,0,1437.17,"[1437.17, 1437.17]","[1437.17, 1437.17]","[1437.17, 1437.17]",1437.17,
data_MedianLifetime,886.0,3.6000000000000227,886.0,"[882.62, 889.6]","[882.62, 889.6]","[882.62, 889.6]",886.0,
data_MaxLifetime,1456.0,0,1456.0,"[1456.0, 1456.0]","[1456.0, 1456.0]","[1456.0, 1456.0]",1456.0,
ML_lnprob,-23782.520433176218,"[-23782.520433176218, -23782.520433176218]",-23782.520433176218,"[-23782.520433176218, -23782.520433176218]","[-23782.520433176218, -23782.520433176218]","[-23782.520433176218, -23782.520433176218]",-23782.520433176218,-23782.520433176218
