,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,147702.158,"[17419.206, 19748.203]",147851.555,"[144244.686, 151548.615]","[137292.771, 167284.719]","[112677.985, 184654.787]",163784.797,126957.772
beta/eta,479.668,"[47.073, 52.196]",468.166,"[453.457, 483.352]","[453.457, 515.217]","[374.416, 585.39]",436.034,538.72
xc^2/epsilon,1646.556,"[233.549, 272.151]",1732.535,"[1683.869, 1782.607]","[1590.6, 1997.792]","[1196.257, 2238.953]",1896.029,1396.629
xc,145.828,"[99.176, 310.011]",43.722,"[38.805, 45.495]","[38.805, 190.422]","[30.568, 1186.249]",647.279,42.637
eta,0.00102,"[0.000712, 0.00236]",0.0012,"[0.000774, 0.00125]","[0.000295, 0.00203]","[0.000155, 0.00798]",0.00395,0.000171
beta,0.478,"[0.332, 1.086]",0.517,"[0.32, 0.546]","[0.209, 1.28]","[0.072, 3.341]",1.723,0.0813
epsilon,13.701,"[12.471, 138.914]",10.444,"[6.012, 15.494]","[2.333, 102.908]","[0.351, 1097.238]",220.973,0.399
sqrt(xc/eta),387.144,"[23.731, 25.28]",394.13,"[389.292, 399.027]","[370.53, 409.005]","[335.675, 440.46]",404.703,386.237
s= eta^0.5*xc^1.5/epsilon,4.333,"[0.37, 0.405]",4.336,"[4.262, 4.412]","[4.118, 4.727]","[3.587, 5.242]",4.685,4.369
beta*xc/epsilon,5.303,"[0.437, 0.477]",5.298,"[5.139, 5.463]","[5.139, 5.808]","[4.276, 6.175]",5.048,5.408
eta*xc/epsilon,0.0112,"[0.000377, 0.00039]",0.0114,"[0.0113, 0.0115]","[0.011, 0.0116]","[0.0104, 0.012]",0.0116,0.0114
Fx=beta^2/eta*xc,1.469,"[0.378, 0.51]",1.456,"[1.334, 1.589]","[1.12, 1.893]","[0.789, 2.687]",1.161,1.388
Dx =beta*epsilon/eta*xc^2,0.277,"[0.0594, 0.0755]",0.276,"[0.26, 0.292]","[0.207, 0.292]","[0.164, 0.414]",0.23,0.261
Pk=beta*k/epsilon,0.0197,"[0.0138, 0.0466]",0.0739,"[0.0691, 0.0901]","[0.0141, 0.0901]","[0.00194, 0.117]",0.0039,0.0695
Fk=beta^2/eta*k,426.945,"[290.648, 910.437]",197.388,"[182.263, 250.717]","[182.263, 1052.862]","[70.023, 3769.775]",1502.758,194.931
Dk =beta*epsilon/eta*k^2,17518.424,"[15708.249, 152020.587]",1975.989,"[1814.071, 2553.735]","[1086.105, 27978.652]","[1086.105, 1694672.203]",385406.248,2034.411
Fk^2/Dk=beta^3/eta*epsilon,8.407,"[2.704, 3.987]",7.305,"[6.491, 8.221]","[6.491, 10.413]","[3.194, 16.705]",5.859,8.284
epsilon/beta^2,58.86,"[15.151, 20.402]",57.937,"[53.149, 63.157]","[44.726, 75.049]","[31.674, 105.974]",74.415,62.922
k/beta,1.229,"[0.88, 3.093]",3.47,"[2.957, 4.071]","[0.916, 6.236]","[0.15, 7.717]",0.29,3.395
k^2/epsilon,0.025,"[0.0229, 0.282]",0.186,"[0.172, 0.276]","[0.00534, 0.276]","[0.000312, 0.974]",0.00113,0.183
eta/xc,6.8e-06,"[8.02e-07, 9.09e-07]",6.76e-06,"[6.6e-06, 6.93e-06]","[5.98e-06, 7.28e-06]","[5.42e-06, 8.87e-06]",6.11e-06,7.88e-06
beta/xc,0.00326,"[0.000654, 0.000817]",0.00327,"[0.00309, 0.00346]","[0.00309, 0.00432]","[0.00198, 0.00483]",0.00266,0.00424
epsilon/xc^2,0.00061,"[8.7e-05, 0.000102]",0.000577,"[0.000561, 0.000594]","[0.00053, 0.000666]","[0.000447, 0.000836]",0.000527,0.000716
k/xc,0.00374,"[0.00255, 0.00797]",0.0114,"[0.011, 0.0119]","[0.00263, 0.0129]","[0.000421, 0.0192]",0.000772,0.0117
best fit no ext hazard_MedianLifetime,749.15,3.5499999999999545,749.15,"[745.6999999999999, 752.6999999999999]","[745.6999999999999, 752.6999999999999]","[745.6999999999999, 752.6999999999999]",749.15,
best fit no ext hazard_MaxLifetime,1498.0,0,1498.0,"[1498.0, 1498.0]","[1498.0, 1498.0]","[1498.0, 1498.0]",1498.0,
best fit_MedianLifetime,749.75,3.5499999999999545,749.75,"[746.3, 753.3]","[746.3, 753.3]","[746.3, 753.3]",749.75,
best fit_MaxLifetime,1478.22,0,1478.22,"[1478.22, 1478.22]","[1478.22, 1478.22]","[1478.22, 1478.22]",1478.22,
data_MedianLifetime,770.0,3.6299999999999955,770.0,"[766.63, 773.63]","[766.63, 773.63]","[766.63, 773.63]",770.0,
data_MaxLifetime,1338.0,0,1338.0,"[1338.0, 1338.0]","[1338.0, 1338.0]","[1338.0, 1338.0]",1338.0,
ML_lnprob,-18452.720352933,"[-18452.720352933, -18452.720352933]",-18452.720352933,"[-18452.720352933, -18452.720352933]","[-18452.720352933, -18452.720352933]","[-18452.720352933, -18452.720352933]",-18452.720352933,-18452.720352933
