death times,events
23,1
29,1
31,1
31,1
33,1
33,1
37,1
37,1
37,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
47,1
47,1
47,1
47,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
55,1
55,1
55,1
55,1
55,1
55,1
57,1
57,1
57,1
57,1
59,1
59,1
59,1
61,1
61,1
63,1
63,1
63,1
63,1
63,1
63,1
65,1
65,1
65,1
65,1
67,1
67,1
69,1
21,0
25,0
28,1
30,1
30,1
32,1
34,1
34,1
36,1
36,1
36,1
36,1
36,1
38,1
38,1
38,1
40,1
40,1
40,1
40,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
44,1
44,1
46,1
46,1
46,1
46,1
46,1
46,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
60,1
60,1
60,1
60,1
60,1
62,1
62,1
62,1
62,1
62,1
62,1
64,1
64,1
64,1
64,1
68,1
68,1
70,1
74,1
82,1
28,0
36,0
50,0
8,1
8,1
28,1
34,1
34,1
36,1
36,1
38,1
38,1
38,1
38,1
38,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
54,1
54,1
54,1
54,1
56,1
56,1
56,1
58,1
58,1
60,1
60,1
62,1
62,1
64,1
66,1
28,0
42,0
12,1
26,1
28,1
30,1
32,1
32,1
34,1
34,1
36,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
40,1
40,1
40,1
40,1
40,1
40,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
58,1
58,1
58,1
58,1
60,1
60,1
60,1
60,1
62,1
62,1
62,1
64,1
64,1
64,1
66,1
66,1
70,1
48,0
4,1
24,1
26,1
30,1
32,1
32,1
32,1
36,1
36,1
38,1
38,1
38,1
40,1
40,1
40,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
44,1
46,1
46,1
46,1
46,1
46,1
46,1
48,1
48,1
48,1
48,1
48,1
48,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
60,1
60,1
60,1
60,1
60,1
60,1
60,1
60,1
62,1
62,1
62,1
62,1
62,1
62,1
64,1
64,1
64,1
64,1
4,0
26,0
60,0
7,1
33,1
35,1
35,1
37,1
37,1
37,1
37,1
37,1
37,1
39,1
41,1
41,1
41,1
41,1
41,1
43,1
43,1
43,1
43,1
43,1
45,1
45,1
45,1
45,1
45,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
57,1
57,1
57,1
57,1
57,1
57,1
57,1
57,1
57,1
59,1
59,1
59,1
59,1
59,1
59,1
59,1
59,1
59,1
59,1
59,1
61,1
61,1
61,1
61,1
61,1
63,1
63,1
65,1
69,1
69,1
3,0
19,0
29,0
31,1
35,1
35,1
35,1
37,1
37,1
37,1
41,1
41,1
41,1
41,1
43,1
43,1
43,1
43,1
43,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
57,1
57,1
57,1
57,1
57,1
57,1
57,1
59,1
59,1
59,1
59,1
61,1
61,1
61,1
61,1
61,1
63,1
63,1
63,1
63,1
63,1
63,1
63,1
63,1
63,1
65,1
65,1
65,1
67,1
39,0
31,1
37,1
39,1
39,1
41,1
41,1
41,1
41,1
41,1
43,1
43,1
43,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
55,1
57,1
57,1
57,1
57,1
57,1
57,1
57,1
57,1
57,1
57,1
57,1
59,1
59,1
59,1
59,1
59,1
61,1
61,1
61,1
61,1
61,1
63,1
63,1
63,1
63,1
63,1
63,1
63,1
63,1
65,1
65,1
69,1
43,0
21,1
25,1
29,1
31,1
33,1
33,1
37,1
39,1
39,1
39,1
39,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
55,1
55,1
55,1
55,1
55,1
55,1
57,1
57,1
57,1
57,1
57,1
59,1
59,1
59,1
61,1
61,1
63,1
63,1
63,1
63,1
63,1
65,1
65,1
65,1
65,1
65,1
65,1
67,1
43,0
43,0
