death times,Breed,events
14.93771389,Aberdeen Terrier,1
15.40314853,Aberdeen Terrier,1
1.393451974,Affenpinscher,1
1.916267397,Affenpinscher,1
2.778804472,Affenpinscher,1
5.17168606,Affenpinscher,1
7.797399042,Affenpinscher,1
12.46269678,Affenpinscher,1
8.032854209,Afghan,1
12.16141912,Afghan,1
8.906228611,Afghan,1
10.2532512,Afghan Hound,1
12.08487337,Afghan Hound,1
12.46532056,Afghan Hound,1
10.05065024,Afghan Hound,1
14.16826375,Afghan Hound,1
5.18275154,African Boerboel,1
2.717640568,African Mastiff,1
5.445585216,African Sand Dog,1
11.08818161,African Sand Dog,1
17.62628337,African Wild Dog,1
14.50501939,Africanis,1
15.00604609,Aidi Cross (Crossbreed),1
15.75895505,Aidi Cross (Crossbreed),1
6.617271275,Ainu Dog,1
6.012320329,Airedale Terrier,1
12.33390372,Airedale Terrier,1
14.24218572,Airedale Terrier,1
10.01220625,Airedale Terrier,1
11.47969427,Airedale Terrier,1
9.215605749,Airedale Terrier,1
9.010152863,Airedale Terrier,1
10.0204198,Airedale Terrier,1
13.89447867,Airedale Terrier,1
15.02532512,Airedale Terrier,1
10.24492357,Airedale Terrier,1
6.143623089,Airedale Terrier,1
6.351699749,Airedale Terrier,1
6.570727812,Airedale Terrier,1
10.5378736,Airedale Terrier,1
10.94296144,Airedale Terrier,1
11.33185033,Airedale Terrier,1
12.07107004,Airedale Terrier,1
11.10746064,Airedale Terrier,1
11.90668492,Airedale Terrier,1
11.94798084,Airedale Terrier,1
13.24287018,Airedale Terrier,1
12.90337668,Airedale Terrier,1
13.23739448,Airedale Terrier,1
10.29694273,Airedale Terrier,1
12.00262377,Airedale Terrier,1
12.41067762,Airedale Terrier,1
11.18948209,Airedale Terrier,1
8.594113621,Airedale Terrier,1
10.6255989,Airedale Terrier,1
11.94239106,Airedale Terrier,1
6.997946612,Airedale Terrier,1
12.81576546,Airedale Terrier,1
10.72404746,Akita Inu,1
13.41535478,Akita Inu,1
13.30321697,Akita Inu,1
13.91778722,Akita Inu,1
14.17373945,Akita Inu,1
10.54072553,Akita Inu,1
10.46132786,Akita Cross (Crossbreed),1
8.451631303,Akita Cross (Crossbreed),1
3.126625599,Akita Cross (Crossbreed),1
3.695984486,Akita Cross (Crossbreed),1
8.640543007,Akitta,1
1.253935661,Alapaha Blue Blood Bulldog,1
14.17385352,Alaskan Klee Kai,1
7.85204198,Alaskan Malamute,1
2.710472279,Alaskan Malamute,1
12.04095368,Alaskan Malamute,1
7.893109742,Alaskan Malamute,1
6.324321241,Alaskan Malamute,1
7.570157426,Alaskan Malamute,1
11.10746064,Alaskan Malamute,1
12.09034908,Alaskan Malamute,1
13.25108373,Alaskan Malamute,1
11.02794889,Alaskan Malamute,1
8.955395848,Alaskan Malamute,1
6.633812457,Alaskan Malamute,1
7.972621492,Alaskan Malamute,1
8.142254164,Alaskan Malamute,1
8.566735113,Alaskan Malamute,1
10.95402692,Alaskan Malamute,1
11.71526352,Alaskan Malamute,1
11.78085786,Alaskan Malamute,1
13.25941136,Alaskan Malamute,1
13.39071412,Alaskan Malamute,1
13.93566051,Alaskan Malamute,1
13.92733288,Alaskan Malamute,1
11.61670089,Alaskan Malamute,1
10.02327173,Alaskan Malamute,1
10.49680584,Alaskan Malamute,1
8.164271047,Alaskan Malamute,1
0.555669633,Alaskan Malamute,1
10.81713438,Alaskan Malamute,1
12.84588182,Alaskan Malamute,1
8.654346338,Alaskan Malamute,1
12.46805841,Alaskan Malamute,1
8.355806525,Alaskan Malamute,1
8.54471823,Alaskan Malamute,1
12.29568789,Alaskan Malamute,1
13.13073238,Alaskan Malamute,1
8.459844855,Alaskan Malamute,1
8,Alaskan Malamute,1
7.452315765,Alaskan Malamute,1
0.580424367,Alaskan Malamute,1
3.370294319,Alaskan Malamute,1
11.28907857,Alaskan Malamute,1
10.40645676,Alaskan Malamute,1
8.908966461,Alaskan Malamute,1
0.194387406,Alaskan Malamute,1
12.45984486,Alaskan Malamute,1
10.77332877,Alaskan Malamute Cross (Crossbreed),1
9.106091718,Alaskan Malamute Cross (Crossbreed),1
0.139516313,Alaskan Malamute Cross (Crossbreed),1
13.4865389,Alaskan Malamute Cross (Crossbreed),1
12.71731691,Alsatian,1
11.18126854,Alsatian,1
6.757015743,Alsatian,1
11.16221766,Alsatian,1
12.57768652,Alsatian,1
12.89790098,Alsatian,1
13.03205567,Alsatian,1
11.00330824,Alsatian,1
13.58510153,Alsatian,1
14.41193247,Alsatian,1
9.962924937,Alsatian,1
7.15662788,Alsatian,1
15.89048597,Alsatian,1
13.8424595,Alsatian,1
13.99577915,Alsatian,1
14.56810404,Alsatian,1
9.513917408,Alsatian,1
9.538558065,Alsatian,1
11.61943874,Alsatian,1
5.021104266,Alsatian,1
10.42835957,Alsatian,1
11.31827515,Alsatian,1
16.49817477,Alsatian,1
5.256673511,Alsatian Cross (Crossbreed),1
8.002623774,Alsatian Cross (Crossbreed),1
9.497490303,Alsatian Cross (Crossbreed),1
7.701574264,Alsatian Cross (Crossbreed),1
14.0039927,Alsatian Cross (Crossbreed),1
10.23123431,Alsatian Cross (Crossbreed),1
10.50513347,Alsatian Cross (Crossbreed),1
15.4002966,Alsatian Cross (Crossbreed),1
12.36687201,Alsatian Cross (Crossbreed),1
8.525667351,Alsatian Cross (Crossbreed),1
13.67282683,Alsatian Cross (Crossbreed),1
15.00068446,Alsatian Cross (Crossbreed),1
15.26614191,Alsatian Cross (Crossbreed),1
15.80287474,Alsatian Cross (Crossbreed),1
16.54209446,Alsatian Cross (Crossbreed),1
18.0039927,Alsatian Cross (Crossbreed),1
10.98140543,Alsatian Cross (Crossbreed),1
13.9192334,Alsatian Cross (Crossbreed),1
14.09707963,Alsatian Cross (Crossbreed),1
16.65697011,Alsatian Cross (Crossbreed),1
13.48665298,Alsatian Cross (Crossbreed),1
11.55099247,Alsatian Cross (Crossbreed),1
13.26751084,Alsatian Cross (Crossbreed),1
15.64681725,Alsatian Cross (Crossbreed),1
15.1266256,Alsatian Cross (Crossbreed),1
10.05874971,Alsatian Cross (Crossbreed),1
15.2223363,Alsatian Cross (Crossbreed),1
15.00057039,Alsatian Cross (Crossbreed),1
15.00057039,Alsatian Cross (Crossbreed),1
11.79192334,Alsatian Cross (Crossbreed),1
16.82683094,Alsatian Cross (Crossbreed),1
8,Alsatian Labrador Cross (Crossbreed) (Crossbreed),1
4.325804244,Alsatian/Collie,1
9.533082364,Alsatian/Collie,1
12.51460187,Alsatian/Collie,1
11.17043121,Alsatian/Collie,1
12.75005704,Alsatian/Collie,1
10.72130961,Alsatian/Collie,1
10.20670773,Alsatian/Collie,1
12.77195984,Alsatian/Collie,1
13.07859913,Alsation Cross Rottweiler (Crossbreed),1
0.958133698,American Akita,1
5.004677162,American Akita,1
13.45927447,American Akita,1
1.357859913,American Blue Blood Bull Dog,1
13.35785991,American Blue Gascon Hound,1
5.902806297,American Bulldog,1
5.001939311,American Bulldog,1
11.906799,American Bulldog,1
12.64328086,American Bulldog,1
9.593429158,American Bulldog,1
12.10392425,American Bulldog,1
11.7562172,American Bulldog,1
1.084188912,American Bull Dog Cross Sbt (Crossbreed),1
1.563198722,American Bull Dog Cross Sbt (Crossbreed),1
1.327857632,American Bull Dog Cross Sbt (Crossbreed),1
4.446155601,American Bull Dog Cross Sbt (Crossbreed),1
9.429158111,American Bull Dog Cross Sbt (Crossbreed),1
