"","Genotype","Cage","Age","Treatment","Dead"
"1","Line: 217","(1)",4,"8 SWITCH",1
"2","Line: 217","(1)",16,"8 SWITCH",1
"3","Line: 217","(1)",16,"8 SWITCH",1
"4","Line: 217","(1)",16,"8 SWITCH",1
"5","Line: 217","(1)",16,"8 SWITCH",1
"6","Line: 217","(1)",22,"8 SWITCH",1
"7","Line: 217","(1)",22,"8 SWITCH",1
"8","Line: 217","(1)",22,"8 SWITCH",1
"9","Line: 217","(1)",24,"8 SWITCH",1
"10","Line: 217","(1)",24,"8 SWITCH",1
"11","Line: 217","(1)",24,"8 SWITCH",1
"12","Line: 217","(1)",24,"8 SWITCH",1
"13","Line: 217","(1)",24,"8 SWITCH",1
"14","Line: 217","(1)",24,"8 SWITCH",1
"15","Line: 217","(1)",24,"8 SWITCH",1
"16","Line: 217","(1)",24,"8 SWITCH",1
"17","Line: 217","(1)",24,"8 SWITCH",1
"18","Line: 217","(1)",24,"8 SWITCH",1
"19","Line: 217","(1)",24,"8 SWITCH",1
"20","Line: 217","(1)",24,"8 SWITCH",1
"21","Line: 217","(1)",24,"8 SWITCH",1
"22","Line: 217","(1)",24,"8 SWITCH",1
"23","Line: 217","(1)",26,"8 SWITCH",1
"24","Line: 217","(1)",26,"8 SWITCH",1
"25","Line: 217","(1)",26,"8 SWITCH",1
"26","Line: 217","(1)",30,"8 SWITCH",1
"27","Line: 217","(1)",30,"8 SWITCH",1
"28","Line: 217","(1)",30,"8 SWITCH",1
"29","Line: 217","(1)",30,"8 SWITCH",1
"30","Line: 217","(1)",30,"8 SWITCH",1
"31","Line: 217","(1)",30,"8 SWITCH",1
"32","Line: 217","(1)",30,"8 SWITCH",1
"33","Line: 217","(1)",30,"8 SWITCH",1
"34","Line: 217","(1)",30,"8 SWITCH",1
"35","Line: 217","(1)",30,"8 SWITCH",1
"36","Line: 217","(1)",30,"8 SWITCH",1
"37","Line: 217","(1)",30,"8 SWITCH",1
"38","Line: 217","(1)",30,"8 SWITCH",1
"39","Line: 217","(1)",30,"8 SWITCH",1
"40","Line: 217","(1)",30,"8 SWITCH",1
"41","Line: 217","(1)",30,"8 SWITCH",1
"42","Line: 217","(1)",30,"8 SWITCH",1
"43","Line: 217","(1)",30,"8 SWITCH",1
"44","Line: 217","(1)",30,"8 SWITCH",1
"45","Line: 217","(1)",30,"8 SWITCH",1
"46","Line: 217","(1)",30,"8 SWITCH",1
"47","Line: 217","(1)",30,"8 SWITCH",1
"48","Line: 217","(1)",30,"8 SWITCH",1
"49","Line: 217","(1)",30,"8 SWITCH",1
"50","Line: 217","(1)",30,"8 SWITCH",1
"51","Line: 217","(1)",30,"8 SWITCH",1
