death times,events
8,1
12,1
12,1
16,1
16,1
16,1
20,1
24,1
24,1
28,1
28,1
30,1
32,1
32,1
32,1
34,1
34,1
36,1
36,1
36,1
38,1
38,1
38,1
38,1
38,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
42,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
54,1
54,1
54,1
56,1
56,1
56,1
56,1
58,1
58,1
58,1
58,1
58,1
58,1
60,1
60,1
60,1
62,1
4,0
20,0
32,0
36,0
12,1
20,1
20,1
22,1
26,1
28,1
28,1
28,1
30,1
30,1
32,1
32,1
32,1
32,1
32,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
36,1
38,1
38,1
38,1
38,1
38,1
38,1
40,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
44,1
44,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
56,1
56,1
56,1
56,1
56,1
56,1
58,1
58,1
58,1
58,1
60,1
60,1
60,1
60,1
62,1
62,1
62,1
26,0
28,0
44,0
10,1
10,1
14,1
14,1
22,1
24,1
24,1
26,1
28,1
28,1
28,1
30,1
30,1
30,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
32,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
36,1
36,1
36,1
36,1
36,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
40,1
40,1
40,1
40,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
46,1
46,1
46,1
46,1
46,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
56,1
56,1
56,1
56,1
58,1
58,1
58,1
58,1
58,1
58,1
6,0
26,0
42,0
20,1
28,1
28,1
30,1
32,1
32,1
32,1
34,1
36,1
36,1
36,1
38,1
38,1
38,1
38,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
54,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
60,1
60,1
60,1
60,1
60,1
62,1
62,1
64,1
66,1
66,1
46,0
13,1
19,1
19,1
23,1
27,1
27,1
29,1
31,1
31,1
31,1
31,1
31,1
33,1
33,1
33,1
33,1
33,1
33,1
35,1
35,1
35,1
35,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
43,1
43,1
43,1
43,1
43,1
43,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
51,1
51,1
51,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
55,1
55,1
55,1
55,1
55,1
55,1
57,1
57,1
57,1
57,1
57,1
59,1
59,1
59,1
59,1
61,1
61,1
61,1
61,1
61,1
63,1
65,1
33,0
15,1
15,1
21,1
21,1
23,1
25,1
25,1
27,1
27,1
29,1
29,1
31,1
31,1
31,1
31,1
33,1
33,1
33,1
33,1
35,1
35,1
35,1
35,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
43,1
43,1
43,1
43,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
55,1
55,1
55,1
57,1
57,1
59,1
59,1
61,1
61,1
65,1
65,1
65,1
65,1
5,0
25,0
25,0
33,0
9,1
13,1
13,1
19,1
21,1
21,1
23,1
27,1
29,1
31,1
31,1
31,1
31,1
33,1
33,1
33,1
35,1
35,1
35,1
35,1
35,1
35,1
35,1
35,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
43,1
43,1
43,1
43,1
43,1
43,1
43,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
47,1
47,1
47,1
47,1
47,1
47,1
47,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
51,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
53,1
55,1
55,1
55,1
55,1
55,1
55,1
57,1
57,1
59,1
59,1
59,1
59,1
61,1
61,1
61,1
49,0
12,1
18,1
18,1
20,1
22,1
22,1
24,1
24,1
28,1
30,1
30,1
34,1
34,1
34,1
34,1
34,1
34,1
34,1
36,1
36,1
36,1
36,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
40,1
40,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
52,1
54,1
54,1
54,1
54,1
54,1
54,1
56,1
56,1
56,1
56,1
56,1
58,1
58,1
58,1
60,1
60,1
64,1
64,1
22,0
42,0
16,1
16,1
18,1
18,1
26,1
26,1
26,1
28,1
30,1
30,1
30,1
34,1
34,1
34,1
34,1
36,1
36,1
36,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
44,1
44,1
44,1
44,1
46,1
46,1
46,1
46,1
46,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
48,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
52,1
